# --- 0.5: Диалог с мамой Кати через ноутбук|Gespräch mit Kates Mutter auf dem Laptop

	05.mkd.1@124@m-mis-0@Здравствуйте. Я вас не знаю и разговариваю с вами только потому, что моя дочь поручилась за вас.|Hallo. Ich kenne Sie nicht und wir führen dieses Gespräch nur, weil meine Tochter sich für dich verbürgt hat.
		05.mkd.2^		Здрасьте...|Hello...

	05.mkd.2@124@m-mis-2@Я сейчас немного занята, так что, предлагаю сразу перейти к делу. Катюша описала в общих чертах суть проблемы.|Ich bin gerade mittendrin, also wie wär's, wenn wir gleich zur Sache kommen? Meine Kate hat mir von deinem Problem erzählt.
		05.mkd.3^		И вы сможете помочь?|Könnten Sie mir helfen?

	05.mkd.3@124@m-mis-4@Не стоит спешить. Для начала, я бы хотела узнать, как тебе насолил этот человек. Обычно к подобным мерам прибегают только в крайних случаях...|Dazu kommen wir noch. Zuerst möchte ich dir sagen, warum du meine Hilfe suchst. Was hat diese Person dir angetan, also fragst du nach meinen Diensten....
		05.mkd.4^		К каким мерам?|Und über welche Dienstleistungen reden wir übrigens?

	05.mkd.4@124@m-mis-2@Разве Катюша ничего не сказала? Я думала, вы в курсе того, что должно случиться с этим человеком...|Hat Ihnen meine Kate nichts gesagt? Ich nahm an, Du weißt, was mit ihm passieren wird....
		05.mkd.5^		Не совсем. Я сказал, что нужно решить эту проблему...|Nicht wirklich. Ich habe sie nur gebeten, mir bei meinem Problem zu helfen....

	05.mkd.5@124@m-mis-1@Понятно. Катюша опять проявила излишний энтузиазм. Ну что же... Видимо, мы все друг друга не так поняли. В таком случае, прощайте...|Ich verstehe. Sieht aus, als wäre Kate wieder zu eifrig gewesen. Nun.... Ich schätze, wir hatten ein Missverständnis. Auf Wiedersehen.
		05.mkd.6^		Нет, всё верно, я хочу от него избавиться!|Nein, warte! Ich will ihn loswerden!

	05.mkd.6@124@m-mis-5@И на что вы... Давай на ты, молод ты ещё. Так на что ты готов пойти, чтобы избавиться от этого... как его зовут? Эрик?|Und was willst du tun, um ihn loszuwerden? Wie heißt er, Eric?
		05.mkd.7^		Да, на всё!|Irgendetwas!

	05.mkd.7@124@m-mis-3@Никогда и никому не говори этих слов, мальчик! Я бываю доброй... иногда... и сегодня тебе повезло, поэтому не воспользуюсь твоей временной слабостью.|Du solltest diese Worte niemals jemandem sagen, Junge. Du hast Glück, dass ich heute gute Laune habe und dir deine Worte nicht vorwerfe.
		05.mkd.8^		Спасибо. И каков план?|Danke. Also, was ist der Plan?

	05.mkd.8@124@m-mis-1@Я пришлю этому Эрику приглашение на закрытую секс-вечеринку. Судя по тому, как мне его описывала Катя, он будет не в силах отказаться. После этого он уже не покинет мой клуб.|Ich schicke ihm eine Einladung zu einer geheimen Sex-Party. Nach dem, was ich von Kate über ihn gehört habe, wird er die Einladung nicht ablehnen können. Und er wird meinen Club nie wieder verlassen.
		05.mkd.9^		Вы его убьёте? А вдруг всё откроется?! Я не хочу всю жизнь провести за решёткой!!!|Du wirst ihn umbringen? Was ist, wenn es jemand herausfindet? Ich will nicht den Rest meines Lebens im Gefängnis verbringen!

	05.mkd.9@124@m-mis-2@Тебе стоит поменьше смотреть сериалов и читать сомнительных детективов. В жизни есть немало вещей гораздо хуже смерти...|Du solltest weniger fernsehen. Es gibt viele Dinge im Leben, die schlimmer sind als der Tod.
		05.mkd.10^		А можно подробнее? Я хочу быть уверен, что он не пострадает. То есть не сильно пострадает. Блин! Думаю, вы меня поняли.|Kannst Du mir sagen, was mit ihm passiert? Ich will wissen, dass er nicht verletzt wird. Ich meine, zu sehr verletzt. Mist.... Nun, ich denke, du weißt, was ich meine.

	05.mkd.10@124@m-mis-4@Ты уверен, что хочешь знать всё?! Многие знания - многие печали!|Bist du sicher, dass du es wissen willst? Wissen kann eine gefährliche Sache sein....
		05.mkd.11^		Конечно!|Natürlich!

	05.mkd.11@124@m-mis-5@Смотри, это твоё желание. Как только этот Эрик попадёт в мой клуб, его накачают наркотиками и начнут использовать по прямому назначению... Ну или не очень. Смотря какие запросы будут у моих клиентов...|Wie du willst. Wenn Eric meinen Club betritt, wird er betäubt und benutzt.... auf verschiedene Arten. Hängt von den Anforderungen meines Klienten ab....
		05.mkd.12^		Постойте... Вы сделаете из него секс-раба!?|Warte, du verwandelst ihn in einen Sex-Sklaven?!

	05.mkd.12@124@m-mis-2@А что, тебя это огорчает? Или ты желаешь ему чего-то другого? Может быть, я снова тебя не так поняла?|Beunruhigt dich das? Willst du etwas anderes für ihn? Vielleicht verstehe ich etwas nicht.
		05.mkd.13^		Э... Нет, меня всё устраивает!|Em.... Nein, ich habe kein Problem damit.

	05.mkd.13@124@m-mis-3@Очень хорошо. А теперь слушай и запоминай. Вот мои условия. Во-первых, ты передаёшь мне через Катю $5000. Этот скромный гонорар пойдёт на обеспечение прикрытия и возможные издержки.|Sehr gut. Jetzt hör mir mal gut zu. Zuerst gibst du mir $5.000 durch Kate. Das Geld wird unsere Spuren und einige Ausgaben decken.
		05.mkd.14^		Хорошо, я найду деньги...|Okay, ich organisiere das Geld.

	05.mkd.14@124@m-mis-1@Себе лично я ничего не возьму, делаю это только ради дочери. Она так редко ко мне обращается, и я буду рада ей помочь хоть в этом сомнительном деле...|Ich nehme nichts für mich. Ich tue das für meine Tochter. Sie redet fast nie mit mir, und ich werde ihr gerne helfen. Sogar bei so etwas wie diesem....
		05.mkd.15^		А во-вторых?|Okay, was noch?

	05.mkd.15@124@m-mis-3@Во-вторых, если хоть кто-то узнает об этом, то место Эрика в моём клубе займёшь уже ты. И поверь, когда я говорила про вещи страшнее смерти, я не шутила...|Zweitens, wenn jemand von unserer Vereinbarung erfährt, wirst du Erics Platz in meinem Club einnehmen. Und glaub mir, ich habe nicht über Dinge gescherzt, die schlimmer sind als der Tod.
		05.mkd.16^		Я всё понял!|Ich verstehe

	05.mkd.16@124@m-mis-2@Очень хорошо. Но твоего слова для меня мало. Моя дочь всё также встречается с твоей сестрой? Мне не очень это всё нравится...|Sehr gut. Aber dein Wort ist nicht genug. Trifft sich meine Tochter noch mit deiner Schwester? Das gefällt mir nicht.
		05.mkd.17^		А вы в курсе их романа?|Du weißt von ihnen?

	05.mkd.17@124@m-mis-4@Конечно, какая же я мать, если не знаю с кем трахается моя дочь...|Natürlich bin ich ihre Mutter, ich weiß, wen sie fickt.
		05.mkd.18^		Ну да. А какое это имеет отношение...|Ich schätze schon. Aber was hat das mit mir zu tun?

	05.mkd.18@124@m-mis-1@Самое прямое. Я тут придумала кое-что и это что-то поможет убить двух зайцев.|Ich habe eine Idee, die mir hilft, zwei Fliegen mit einer Klappe zu schlagen.
		05.mkd.19^		К-каких зайцев?|W-welche Fliegen?

	05.mkd.19@124@m-mis-3@Я не в восторге, что Катюша столько времени проводит к твоей сестрой. Алиса, кажется?|Ich mag Kates Beziehung zu deiner Schwester nicht. Alice, glaube ich?
		05.mkd.20^		Да. А что, вы против лесбийской любви?|Ja. Bist du gegen gleichgeschlechtliche Liebe?

	05.mkd.20@124@m-mis-1@Нет конечно, Макс. Я против любви вообще. Ни к чему хорошему это не приведёт. В голове у Катюши только эта Алиса и ничего кроме. Я хочу немного это изменить...|Natürlich nicht, Max. Ich bin gegen die Liebe im Allgemeinen. Es geht nie gut aus. Kates Kopf ist nur mit Alice und Alice gefüllt. Ich will das ändern....
		05.mkd.21^		И тут нужен... я, видимо?|Und du brauchst meine Hilfe dabei?

	05.mkd.21@124@m-mis-5@А ты сообразительный, Макс. Да. Мне нужен компромат на тебя, чтобы ты не вздумал кому-то даже намекнуть на наш разговор. Конечно, я могла бы заставить тебя сняться в каком-то сомнительном ролике, например, где трахают тебя... Но я добрая, как уже сказала...|Ja. Ich brauche einen Kompromiss, damit du über unseren Deal schweigst. Ich schätze, ich könnte dich bitten, von jemandem vor der Kamera gefickt zu werden.... Aber wie gesagt, ich bin heute gut gelaunt.
		05.mkd.22^		С-спасибо...|D-Danke...

	05.mkd.22@124@m-mis-4@Поэтому, я хочу, чтобы Катя сняла на видео, как ты... трахаешь свою сестру. Мне кажется, что достаточно унизительно для тебя и может повлиять на их отношения...|Ich möchte, dass du Folgendes tust. Kate wird dich mit deiner Schwester aufnehmen. Ich denke, es sollte für dich demütigend sein und kann ihre Beziehung beeinflussen....
		05.mkd.23^		Хорошо!|Okay!

	05.mkd.23@124@m-mis-1@Как-то ты подозрительно быстро согласился. Я даже на миг начала думать, что ты сам хочешь трахнуть свою сестру...|Das ist einfach.... Du willst deine Schwester nicht ficken, oder?
		05.mkd.24^		А. Н-нет, конечно, это же так неправильно...|Oh, n-nein, natürlich nicht, es ist so falsch....

	05.mkd.24@124@m-mis-2@Ясно, Макс. Копи $5000 и трахни уже свою сестру. Спустя пару дней после получения денег и видео не теряй своего Эрика. И да, если всё пройдёт хорошо, то мы с тобой больше не увидимся. Надеюсь, ты всё понял.|Ich verstehe. Nun, fang an, $5000 zu sparen und fick deine Schwester. Ein paar Tage nach Erhalt des Geldes und des Videos bekommt Eric eine Einladung. Wenn alles wie geplant läuft, werden wir uns nicht mehr sehen. Ich hoffe, du verstehst das.
		05.mkd.25^		Да, меня всё устраивает!|Ja, ich stimme deinen Regeln zu.

	05.mkd.25@124@m-mis-4@А ты знаешь, ты мне понравился. Может быть, мы всё-таки ещё увидимся с тобой... при других обстоятельствах...|Weißt du, ich mag dich.... Vielleicht sehen wir uns wieder.... Unter anderen Umständen....
		leave!set_girlz.scene_20!set_altway_5!time^			Может быть...|Möglicherweise....



# --- 0.5: Разговор с мамой Кати насчёт денег ($5000)|Gespräch mit Kates Mutter über $5000

	05.mokd.1@124@m-mis-0@Макс, правильно? Катя уже показала мне ваше видео. Кажется, у тебя талант...|Max, richtig? Kate hat mir bereits dein Video gegeben. Ich denke, du hast ein Talent.
		05.mokd.2^									В смысле?|Was meinst du damit?

	05.mokd.2@124@m-mis-1@Ты с таким энтузиазмом принялся выполнять моё поручение... На секунду я даже подумала, что ты очень хотел трахнуть свою сестру!|Du warst so begeistert, deine Aufgabe zu erfüllen. Für eine Sekunde dachte ich, du wolltest deine Schwester ficken!
		05.mokd.3^									А это важно?|Spielt das eine Rolle?

	05.mokd.3@124@m-mis-4@В нашем деле важно всё, Макс. Это не должно было быть наградой для тебя, скорее испытанием... Но ты отлично справился. Мне даже кажется, что мы с тобой можем сработаться, если захочешь...|Es gibt keine unwichtigen Details, wenn man in etwas so Wichtiges wie unseren kleinen Deal verwickelt ist, Max. Das sollte keine Belohnung für dich sein, sondern eine Herausforderung.... Wie auch immer, du warst großartig. Ich denke, wir könnten in Zukunft sogar zusammenarbeiten, wenn du willst.
		05.mokd.4^									О чём речь?|Was meinst du damit?

