# --- 0.6: Первый визит Оливии и Алекса вместе, но не парой|lisa spricht Erste Olivia und Alex Besuch nach der Trennung

	06.tola.0@140@m-op-0@Приветик! Это мы. Думали, больше нас не увидите? А вот и нет!|Hallo, alle zusammen! Wir sind es. Dachtest du, du siehst uns nie wieder? Hier sind wir!
		06.tola.1!set_poss.swap_54^		Ну и ?упер!|Großartig!

	06.tola.1@48@m-op-3@Ага. Мы очень рады, что вы не перестали вместе, ну... Вы же не вместе?|Ja, wir sind sehr froh, euch beide wieder hier zu sehen. Ihr seid aber nicht zusammen, oder?
		06.tola.2^		<i>пром?лчать</i>|<i>sei ruhig</i>

	06.tola.2@143@m-op-2@Да всё норм, не парься. Пришли мы вместе, но Алекс весь твой. Ты же этого хочешь? Ну а мне полагается за это приз... Верно, Макс?|Nein, keine Sorge. Wir sind zusammen gekommen, aber Alex gehört ganz dir. Das willst du doch, oder? Und dafür bekomme ich einen Preis. Stimmt's, Max?
		06.tola.3a^		Да ещё какой!|Natürlich!
		06.tola.3b^		Только скорее ты - приз для меня...|Eher bist du mein Preis.

	06.tola.3a@41@А может быть это Оливия для тебя приз, а не ты для неё? А то ты тот ещё подарочек...|Eher wie Olivia ist dein Preis und nicht umgekehrt. Preise sollen lohnend sein, nicht strafend....
		06.tola.3^		Эй! Ещё никто не жаловался!|Hey! Noch hat sich niemand beschwert!

	06.tola.3b@142@Оу... Макс, ещё слово и я наброшусь на тебя...|Oh, danke, Max. Noch ein Wort und ich springe dich an.
		06.tola.3^		Давай, я готов!|Ich bin bereit, wenn du es bist!

	06.tola.3@134@Я тут это... Принёс кое-что, как всегда. Попробуем?|Ich habe etwas mitgebracht, wie immer. Sollen wir es versuchen?
		06.tola.4^		Ну, давай посмотрим, что там...|Mal sehen, was du hast.

	06.tola.4@141@m-op-13@Как всегда, с секретным ингредиентом, Алекс?|Und hat es eine geheime Zutat, Alex?
		06.tola.5^		<i>далее</i>|<i>fortfahren</i>

	06.tola.5@135@На этот раз настоечка на особых растениях... Правда, не всем понравится и голова может болеть...|Nein, diesmal habe ich eine Tinktur aus speziellen Kräutern mitgebracht.... Ich bin mir nicht sicher, ob es allen gefallen wird und du vielleicht Kopfschmerzen bekommst....
		06.tola.6a^		Э... Может, не надо?|Ich denke darüber nach, das hier weiterzugeben.
		06.tola.6b^		Ну, давай попробуем...|Nun, lass es uns versuchen.

	06.tola.6a@48@Полностью поддерживаю. Сегодня что-то не хочется напиваться... Я пропущу. Вы же не против?|Ich bin mit Max zusammen, ich will mich heute nicht betrinken. Ich passe. Es macht dir doch nichts aus, oder?
		06.tola.6c^		Конечно, нет...|Natürlich nicht

	06.tola.6b@46@А мне вот что-то не хочется сегодня напиваться, да ещё экспериментировать... Я пропущу...|Ich will mich heute nicht betrinken, besonders nicht bei etwas Experimentellem. Ich passe.
		06.tola.6c^		Как скажешь...|Okay

	06.tola.6c@140@Да, Лиза права. Мне тоже что-то не хочется экспериментов, особенно, с этими особыми растениями...|Ja, Lisa hat Recht. Ich will auch nicht mit speziellen Kräutern experimentieren.
		06.tola.6^		Ну, хорошо...|Nun, okay....
		06.tola.6^		Полностью согласен!|Ich stimme zu!

	06.tola.6@137@m-op-3@Ну и ладно, как хотите. Дело ваше...|Wenn du es so spielen willst....
		06.tola.7^		<i>далее</i>|<i>fortfahren</i>

	06.tola.7@142@Алекс, не обижайся. Мы сегодня первый раз с новыми... парами, так сказать. Девочки хотят узнать свои чувства без алкоголя, понимаешь?|Reg dich nicht auf, Alex. Heute ist das erste Mal mit neuer.... Paarungen, sozusagen. Die Mädels wollen einen klaren Kopf behalten, um ihre Gefühle richtig verarbeiten zu können.
		06.tola.8^		<i>далее</i>|<i>fortfahren</i>

	06.tola.8@134@Какие чувства? Я что-то не втыкаю...|Ich verstehe es nicht....
		06.tola.9^		Хм...|Hm...

