# --- 0.7: Диалог с Кирой насчёт прогресса по маме

	07.abc.0.init@0@Ну, как с мамой спится?|Also, wie ist es, mit Mom zu schlafen?
	07.abc.0@113@Замечательно, Макс! Такая огромная кровать! Не то, что этот диванчик... Конечно, его тоже можно расправить, но ты же знаешь, как мне лень...|Es läuft großartig, Max! Das Bett ist so groß, nichts geht über das Sofa. Ich könnte es ausweiten, aber ich bin zu faul, es zweimal am Tag zu tun....
		07.abc.1^		Да я не о том...|Das ist nicht das, wonach ich gefragt habe.

	07.abc.1@101@А о чём тогда?|Was dann?
		07.abc.2^		Ну, убедила её спать голой?|Hast du Mom überzeugt, nackt zu schlafen?

	07.abc.2@114@Ах... Ты всё о своём... Нет, пока не очень. Я не знаю даже кого она стесняется - меня или того, что кто-то может её увидеть. Хотя, ты же постоянно по балконам лазишь, подглядываешь. Верно, Макс?|Oh, das.... Noch nicht, nein. Ich frage mich, warum sie so schüchtern ist. Liegt es an mir oder ist es vielleicht daran, dass jemand nachts auf den Balkonen herumspaziert.
		07.abc.3^		Что ты, конечно, нет!|Ich habe keine Ahnung, wovon du redest.
		07.abc.3^		Ну...|Nun ja

	07.abc.3@103@Ага, все знают, что это твоё любимое развлечение...|Jeder weiß von deinem Lieblingshobby, Max.
		07.abc.4^		Правда?!|Wirklich!?

	07.abc.4@101@Да откуда мне знать? Но мне кажется, что знают... Но ты же не об этом хотел поговорить? Кстати, а почему для тебя так важно, чтобы мама разделась?|Woher soll ich das wissen? Ich denke schon.... Aber es ist nicht das, worüber du reden wolltest, oder? Wie auch immer, warum sorgst du dich um die Nachtwäsche deiner Mom?
		07.abc.5^		Ну как же, она такая зажатая... А у нас план, помнишь?|Weil wir einen Plan haben, um sie offener zu machen, erinnerst du dich?

	07.abc.5@113@Конечно, помню. Ты прав, надо форсировать события. Мне кажется, что ещё чуть-чуть и мне удастся всё, что я давно хотела...|Natürlich tue ich das. Du hast Recht, es ist Zeit, vorwärts zu gehen. Ich glaube, sie ist fast so weit.
		07.abc.6^		А можно понаблюдать за этим?|Darf ich zusehen?
		07.abc.6a^		И что же ты хотела?|Also, was ist der nächste Schritt?

	07.abc.6a@103@Ой, Макс, не притворяйся, что не знаешь что я делаю и зачем... Кстати, если будет желание, можешь даже подглядывать иногда. Меня это заводит...|Nur noch ein Schritt, der letzte. Es ist Zeit, endlich das zu bekommen, worauf wir die ganze Zeit hingearbeitet haben. Du kannst übrigens zusehen. Es macht mich an....
		07.abc.6^		Х-хорошо!|Okay!

	07.abc.6@114@Вот только не испорть всё, ладно? И не факт, что всё так быстро и просто получится, но мне не мешает, когда кто-то подсматривает. Наоборот, даже немного заводит... Ну ладно, вру! Сильно заводит...|Aber du musst vorsichtig sein, Max, ich will nicht, dass du alles ruinierst. Ich bin mir nicht sicher, wann ich es tun kann, aber es macht mir nichts aus, wenn du zuschaust. Macht das Ganze so viel besser....
		07.abc.7^		Ага, учту!|Gut zu wissen!

	07.abc.7@101@Но не попадайся пока маме на глаза, если будешь подглядывать, хорошо?|Aber du darfst nicht erwischt werden, Max!
		leave!set_kirabed_7!set_dcd.momlust_3^			Ко?ечно!|Natürlich!



# --- 0.7: Диалог с Кирой насчёт фотографий

