# --- 1.0: Разговор насчёт следующего фильма в студии

	10.aa.0@101@t-mk-1@Привет, Макс. Кажется, пришло время кое-что обсудить. У тебя есть время?|Hi, Max. Hast du Zeit, unseren nächsten Film zu diskutieren?
		10.aa.1^		Конечно!|Natürlich!

	10.aa.1@100@В общем, у меня появилась идея для следующего фильма, правда твоя мама сопротивляется опять...|Ich habe eine Idee für unseren nächsten Film. Deine Mutter ist natürlich dagegen.
		10.aa.2^		Значит, что-то интересное!|Dann sollte es gut sein

	10.aa.2@62@Макс, мне начинает казаться, что ты участвуешь в этих съёмках вовсе не за деньги...|Ich fange an zu glauben, dass du das nicht wegen des Geldes machst, Max.
		10.aa.3^		Что ты, мам!|Es ist alles für die Familie, Mom.
		10.aa.3a^		Ну, может быть...|Nun ja....

	10.aa.3a@67@Может быть? Да у тебя на лице всё написано и до съёмок и во время...|Ja, ja, ich verstehe, wieso du es auf der Nase siehst. Besonders, wenn wir die Filme
		10.aa.3b^		А ты не получаешь удовольствие?|Gefällt es dir nicht auch?

	10.aa.3b@69@Мне стыдно, что приходится этим заниматься. Но приходится, просто иначе мы не сможем жить в этом доме и в таких условиях. Ты же и сам всё понимаешь...|Ich schäme mich dafür und ich tue es nur, weil ich keine Wahl habe.
		10.aa.3^		Ага, ага...|Ja ja, Ja ja...

	10.aa.3@100@Так, давайте не будем поднимать эту тему в очередной раз. Мы уже сняли три фильма и я видела вас в деле. Очевидно, что процесс нравится всем. Даже тебе, Ань. И не спорь, бесполезно!|Können wir bitte ein Gespräch führen, ohne dass ich mir diesen müden Streit anhören muss? Das macht uns allen Spaß. Selbst dir, Ann, macht es keinen Sinn, es zu leugnen.
		10.aa.4^		Ну вот!|Ja ja!

	10.aa.4@69@Ладно, пусть так. Но то что ты предлагаешь в этот раз, это... перебор. Тебе так не кажется?|Gut, gut, gut. Aber trotzdem, der nächste Film ist.... Zu viel, findest du nicht?
		bor=0&10.aa.5a^		А что именно?|Was machen wir jetzt?
		bor>0&10.aa.5b^		А что именно?|Was machen wir jetzt?

	10.aa.5a@101@Узнаешь, Макс. Ничего противоестественного. Я считаю, что твоя мама тоже имеет право получать удовольствие не только от наблюдения, так сказать... Но пусть это будет сюрпризом. Ты обо всём узнаешь... в своё время.|Du wirst sehen, Max. Nichts Schlimmes. Ich denke, deine Mutter sollte auch etwas Freude haben, und nicht nur am Zuschauen.... Und das ist alles, was du vor der Aufnahme wissen musst.
		10.aa.5^		Опять секреты какие-то...|Mehr Geheimnisse....

	10.aa.5b@113@Могу лишь намекнуть, что однажды ты это уже делал. И если честно, твоей маме уже это понравилось, хотя она и не сознается никогда... Даже если не понял, пусть это будет сюрпризом. Узнаешь в своё время обо всём...|Ich kann dir einen Tipp geben: Du hast es schon mal gemacht, und deine Mutter hat es geliebt, auch wenn sie es nicht laut sagen will. Wenn du immer noch nicht weißt, was passieren wird, wirst du es am Set lernen.
		10.aa.5^		Опять секреты какие-то...|Mehr Geheimnisse....

	10.aa.5@114@Я же говорила, что очень ценю вашу реалистичную реакцию. Зрители это видят и им очень нравится то, как вы играете. Если бы вы всё знали заранее, то пытались бы играть и было бы как у всех...|Ich habe dir schon gesagt, ich will, dass du dich natürlich verhältst, deine Zuschauer werden es zu schätzen wissen. Wenn du das Drehbuch kennst, bist du nicht anders als alle anderen Schauspieler.
		10.aa.6^		И чем это плохо?|Was ist daran schlecht?

	10.aa.6@113@Тем, что у всех обычно куча дублей, а у нас нет пока столько времени и ресурсов. Да и зачем, если и так отлично получается? Всё, никаких больше вопросов. И не вздумай маму расспрашивать о сюжете, понял?|Jeder andere hat normalerweise einen Luxus von mehreren Takes. Und da wir nicht die Zeit und das Geld dafür haben, müssen wir beim ersten Versuch alles richtig machen. Und fragt niemanden nach seiner Rolle!
		10.aa.7^		Ага...|Okay

	10.aa.7@101@Вот и хорошо. Да, насчёт костюмов. В этот раз не потребуется ничего особого. Может быть, Ань, тебе что-то подберём... более сексуальное. А в остальном подойдёт и то, что уже есть.|Gut. Oh, und wir müssen diesmal keine speziellen Requisiten vorbereiten, wir finden alles, was wir brauchen, im Studio. Vielleicht bekomme ich etwas.... sexy für Ann....
		10.aa.8^		Ясно...|Okay

	10.aa.8@100@Теперь мне нужно несколько дней, чтобы всё дописать, спланировать и сможем приступать к съёмкам...|Jetzt brauche ich ein paar Tage, um das Drehbuch zu schreiben und wir können den nächsten Film drehen.
		leave!set_Momlust_47!set_poss.car_31^			Хорошо|Okay



# --- 1.0: Попытка узнать у мамы о сюжете фильма

	10.ab.0.init@0@Мам, насчёт фильма...|Wegen dem Film...
	10.ab.0@60@И что насч?т него?|Was ist damit?
		10.ab.1^		Ты знаешь сюжет?|Kennst du die Handlung?

	10.ab.1@67@Знаю. Постой, ты думаешь, что я тебе вот так всё сразу и расскажу? Кира меня предупреждала, что ты придёшь...|Das tue ich, aber du glaubst nicht, dass ich es dir einfach sagen werde, oder? Kira hat mich gewarnt, dass du vielleicht schnüffelst.
		10.ab.2^		Ну мне любопытно же...|Ich bin nur neugierig.

	10.ab.2@75@Понимаю, но она всё объяснила и ясно дала понять, что тебе знать не нужно все детали заранее...|Ja, aber sie sagte, wir sollten in die Dreharbeiten gehen und so wenig wie möglich wissen.
		10.ab.3^		А почему ты всё знаешь?|Woher weißt du dann alles?

