# --- 0.11: Диалог с Алисой насчёт того, что она решила делать с компроматом. Ключевой диалог, запускающий цепочку, открывающую контент 0.11

	11.aa.0.init@0@Так что ты решила насчёт того видео?|Also, hast du entschieden, was wir tun sollen?
 	11.aa.0@21@А что, страшно? Ты знаешь, я могла бы такого попросить... Ух!|Hast du Angst, Max? Du weißt, ich kann dich dazu bringen, alles zu tun, was ich will....
		11.aa.1^		Например?|Wie war?

	11.aa.1@25@А вот скоро и узнаешь. Я так поняла, тётя Кира к вам ночами заходит потрахаться?|Du wirst es früh genug wissen. Wenn ich richtig verstanden habe, besucht dich Tante Kira ab und zu nachts, damit ihr alle zusammen ficken könnt, richtig?
		11.aa.2a^		Почему потрахаться? Ради уроков!|Es sollte für Bildungszwecke sein....
		11.aa.2^		Ага...|Jawohl

	11.aa.2a@22@Уроков? Тебя успокаивает такое оправдание, правда? Мне показалось, что учить вас уже нечему и она ходит просто хорошо провести время...|Ich bin mir ziemlich sicher, dass sie dir schon die Grundlagen beigebracht hat und jetzt fickst du nur zum Spaß.
		11.aa.2^		Ну, может быть...|Nun, vielleicht....

	11.aa.2@20@Вот и я хотела бы тоже хорошо провести время. А то как-то скучно в последнее время...|Und jetzt will ich auch noch etwas Spaß haben. Alte Spiele fühlen sich in letzter Zeit etwas langweilig an....
		11.aa.3^		Так что ты хочешь?|Also, was willst du?

	11.aa.3@21@Узнаешь, Макс. Очень скоро. Ждите меня ночью. Не знаю, этой или следующей, посмотрим...|Du wirst sehen. Warte nachts auf mich. Vielleicht heute, vielleicht morgen, werde ich dich bald besuchen.
		11.aa.4^		Ну хоть намекни, чего ждать?|Willst du mir nicht wenigstens einen Hinweis geben?

	11.aa.4@25@Макс, ну что за глупый вопрос? Всё узнаешь, когда я приду. И всё, хватит вопросов!|Hör auf, dumme Fragen zu stellen, Max, besonders jetzt, wo du so nah dran bist, alles herauszufinden.
		leave!set_poss.rol_7!set_sub_7!set_dcd.sub_1^		Ладно...|Schön, schön...



# --- 0.11: Первый ночной эвент, где приходит Алиса

	11.ab.0@25@b-alisacome-1@Привет, Макс, Лиза... Надеюсь, вы меня ждали? Макс, уступи мне свою кровать, нам нужно поговорить...|Hi, Max, Lisa. Ich hoffe, du hast auf mich gewartet? Lass mich auf deinem Bett sitzen, Max, wir müssen reden.
		11.ab.1^		Что ты задумала?|Was willst du denn?

	11.ab.1@41@b-alisacome-2@А ты чего голая ходишь по дому? Вдруг мама заметит?|Warum gehst du nackt durchs Haus? Was, wenn Mom dich sieht?
		11.ab.2^		<i>далее</i>|<i>fortfahren</i>

	11.ab.2@21@Не заметит. Вы же бегаете ночами и вроде бы ни разу не попались?|Wird sie nicht. Du rennst die ganze Zeit nackt herum und Mom hat dich nicht erwischt, oder?
		11.ab.3^		Не попались...|Nein, hat sie nicht.

	11.ab.3@25@Ну вот. Итак, я всё обдумала и придумала ряд правил, которые вы должны соблюать!|Großartig. Fangen wir mit ein paar Grundregeln an.
