# --- 0.12: Макс спрашивает Лизу насчёт уроков с мамой

	12.aa.0.init@0@Как ваше обучение с мамой?|Any progress on your sex ed lessons with mom?
	12.aa.0@41@Отлично! Кажется, мы с мамой стали даже немного ближе... Она поделилась всякими секретами, ну и я немного...|Yes. The whole thing brought us closer together. She tells me all kinds of things, I share things with her...
		12.aa.1^		Про нас?!|Not about us, I hope

	12.aa.1@43@Ой, нет, что ты! Я в своём уме, да и инстинкт самосохранения есть...|No, why would I want to tell her about that? Do you think I'm a complete moron, Max?
		12.aa.2^		Молодец!|I just double checked, that's all

	12.aa.2@41@Конечно! За то ты меня и любишь, верно? Ах да... кажется, мы подошли к тому моменту, где ты мог бы присоединиться к нашим урокам...|Sure... Anyway, I think mom might be ready for practical sex ed lessons now.
		12.aa.3^		Ой, супер!|That's great news!

	12.aa.3@40@Поговори с мамой вечерком, когда она отдыхает. Может быть, будет в хорошем настроении и согласится...|You should talk to her in the evening when she's not busy. Maybe she'll be in good enough mood to agree.
		leave!set_poss.guest_25!set_lidea_6^		Хорошо, попробую!|Thanks, I'll try that



# --- 0.12: Макс приходит к маме вечером в комнату

	12.ab.0.init@0@Как ваши уроки?|Any progress on your sex ed lessons with Lisa?
	12.ab.0@73@Какие уроки? Ах, ты про Лизу? Всё хорошо, сынок, а что такое?|Things seem to go well enough, I guess. Why?
		12.ab.1^		Моя помощь нужна?|Do you need my help?

	12.ab.1@60@Помощь? В чём? Вроде бы справляемся. Я ей рассказываю, объясняю, что и как... Она всё быстро усваивает, никаких проблем...|I don't think so. We're talking, she's asking questions... I think we're good.
		12.ab.2^		А как же практика?|But what about practice?

	12.ab.2@62@Практика? Какая практика? Ты о чём, Макс?|What practice?
		12.ab.3^		Ну мы же разговаривали, помнишь?|If you're hoping I've forgotten about our earlier conversation, then I'm sorry to disappoint you, but I haven't

	12.ab.3@69@Хм... Ну да, помню. Надеялась, что ты забыл. Не уверена, что это всё - хорошая идея. Она же такая невинная девочка, а ты предлагаешь... Я даже не знаю что именно...|Well, you can't blame the girl for trying. I'm still not sure about this idea. She seems too innocent for your... offer.
		12.ab.4^		Ну помочь, конечно!|I'm just offering my help, nothing else

	12.ab.4@73@Помочь? Ну не знаю... Ладно, зови Лизу, побеседуем. Может быть, сможете вместе меня убедить...|Right... Fine, call Lisa, let's talk about it. Who knows, maybe you'll convince me.
		12.ab.5^		Хорошо, попробуем!|We'll try!

	12.ab.5@60@d-mt-3@Ну что же... Я даже не знаю с чего начать...|So... Where do we even start?
		12.ab.6^		Хм...|<i>continue</i>

	12.ab.6@41@d-mt-2@Мам, да чего ты так разволновалась? Это же Макс, чего его стесняться? Я вот его не стесняюсь. Он же мой брат!|What's the big whoop anyway? It's Max, there's no reason to be shy. He's my brother!
		12.ab.7^		Да, точно!|That's right

	12.ab.7@67@d-mt-3@Ты права, дочка. Ладно, присаживайтесь, поболтаем...|You're right... Fine, let's talk about it.
		12.ab.8^		Ага...|Yeah

	12.ab.8@69@d-mt-4@Макс, как ты знаешь, родители должны разговаривать с детьми о... половом воспитании, о сексе, об отношениях и...|We're here because it's my job as a parent to give you, em, <i>the talk</i>...
		12.ab.9^		Верно...|Right...

	12.ab.9@41@d-mt-5@Мам, да это всё мы понимаем. И уроки у нас с тобой уже были... теоретические. Может быть, пора перейти к практическим занятиям?|We already had that conversation, mom. So, maybe it's time to make our lessons... More practical?
		12.ab.10^		<i>далее</i>|<i>continue</i>

	12.ab.10@73@d-mt-4@Занятиям? Ты о чём, Лиза? Я ещё думаю, хорошая ли идея, что Макс вообще участвует в этом разговоре, а ты про занятия...|Practical? I'm still not sure about being him a part of the conversation, and you want him too...
		12.ab.11^		Я зря пришёл?|Isn't that why I'm here?

