# --- 0.4: (новое из 0.4: массаж, в конце) Разговор с Алисой, когда она одна загорает|Alice sonnt sich.

	alisa.talk.solar.init@0@Загораешь?|Sonnenbaden?
	alisa.talk.solar@22@Как ты догадался, Шерлок?|Wie haben Sie das erraten, Sherlock?
		topless<2&item.solar=-5&alisa.talk.solar.oil^						Может быть, тебя намаз?ть маслом для загара?|Soll ich dich mit Sonnencreme einreiben?
		topless=2&item.solar=-5&alisa.talk.solar.oil.ntp^					Может быть, тебя намазать маслом для загара?|Soll ich dich mit Sonnencreme einreiben?
		item.solar>-5&alisa.talk.solar.nooil^								Может быть, тебя намазать маслом для загара?|Soll ich dich mit Sonnencreme einreiben?
		leave^																Ладно, загорай...|Okay, ich überlasse es dir....

	alisa.talk.solar.oil.ntp@20@Если у тебя есть масло, то давай, раз тебе делать нечего.|Wenn Du Sonnencreme hast, Ich sowieso gerade nichts besseres zu tun.
		alisa.ntp.2^		Ложись на живот тогда...|Leg Dich sich auf den Bauch, dann....

	alisa.ntp.2@31@e-alisa-sun-2@Эти шезлонги всем хороши, но на животе загорать не получается. Приходится коврик для йоги использовать...|Diese Liegen sind gut, aber es ist unmöglich, sie auf dem Bauch zu bräunen. Du musst eine Yogamatte benutzen....
		alisa.ntp.3^		Может быть, массаж?|Wie wär's mit einer Massage?

	alisa.ntp.3@33@Ну... Давай... Только массаж, пожалуйста. Не лапать, а нежно, но сильно... В общем, сообразишь...|Nun.... Gut. Aber wir reden über Massage, nicht über Fummeln. Vorsichtig, oder.... Du wirst es herausfinden....
		alisa.ntp.4^		Как скажешь...|Okay...

	alisa.ntp.4@25@Ой... Как приятно... Макс, ты делаешь успехи! Ещё немного попрактикуешься, и к тебе будет сложно записаться на приём!|Oh.... Du bist heute sehr gut, Max! Mit etwas Übung werden sich die Leute dafür anstellen!
		alisa.ntp.5^		Может быть... перевернёшься?|Willst du.... dich umdrehen?

	alisa.ntp.5@22@n-sun-2@Хм... ну, ладно. Только постарайся из штанов не выскочить. И запомни, я ожидаю хороший массаж, а не просто руками полапать!|Hmmm.... Gut. Aber versuch nicht aus der Hose zu springen. Und denke daran: Ich erwarte eine gute Massage, das ist keine Freilizenz!
		alisa.ntp.6^		<i>массаж груди</i>|<i>Brüste massieren</i>

	alisa.ntp.6@31@Ох... Макс... Ты знаешь, как сделать девушке приятно... Спасибо. Лучше остановимся, а то... В общем, спасибо тебе!|Oh.... Max.... Du weißt, wie man eine Frau erfreut.... Ich danke Dir. Aber wir sollten aufhören, bis wir.... Wie auch immer, danke!
		leave!add_skill.massage_5!set_can.massagemom_1!set_cd.alisa.oiltalk_4!art_z-alisa-sun-1_e-alisa-sun-alone-2_4!set_alisa.sun.now_1!max_cam.6.grow_200^				Не за что, сестрёнка!|Gern geschehen, Schwesterchen!

	alisa.talk.solar.oil@20@Если у тебя есть масло, то давай, раз тебе делать нечего.|Wenn Du Sonnencreme hast, habe Ich sowieso nichts anders zu tun.
		alisa.talk.solar.oil.1!!set_cd.alisa.oiltalk_4^												Ложись на живот тогда...|Leg Dich dann bitte auf den Bauch....

	alisa.talk.solar.oil.1@31@e-alisa-sun-1@Эти шезлонги всем хороши, но на животе загорать не получается. Приходится коврик для йоги использовать...|Diese Liegen sind gut, aber es ist unmöglich, sie auf dem Bauch zu bräunen. Du musst eine Yogamatte benutzen....
		alisa.talk.solar.oil.2!max_cam.6.grow_150^													<i>продолжать намазывать крем</i>|<i>weiter Creme auf die Haut auftragen</i>
		alisa.talk.solar.oil.2.end^																	<i>зако?чить</i>|<i>beenden</i>

	alisa.talk.solar.oil.2.end@22@Спасибо, Макс. Так намного лучше...|Danke, Max. Es ist viel besser....
		alisa.talk.solar.oil.2.top^																	А тебе нравится, что следы от лямок остаются?|Willst Du Bräunungssteifen von den Trägern haben?
		leave!set_cd.alisa.oiltalk_4!art_z-alisa-sun-1_e-alisa-sun-alone-1_4^						Обращайся, если что...|Jederzeit, Schwester

	alisa.talk.solar.oil.2@22@Ты решил заодно мне и массаж сделать? Мне кажется, достаточно. Спасибо...|Hast du dich entschieden, mir auch eine Massage zu geben? Ich denke, das ist genug. Danke....
		alisa.talk.solar.oil.2.top^																	А тебе нравится, что следы от лямок остаются?|Willst Du Bräunungssteifen von den Trägern haben?
		alisa.talk.solar.oil.2.massage^																Ну я могу и массаж сделать!|Ich kann dir auch eine Massage geben, wenn du willst.
		leave!set_cd.alisa.oiltalk_4!art_z-alisa-sun-1_e-alisa-sun-alone-1_4^						Обращайся, если что...|Jederzeit, Schwester

	alisa.talk.solar.oil.2.massage@31@Нет уж, иди массажируй что-нибудь другое, а мне и так хорошо...|Nein, geh wen anderes massieren, mir geht's gut.
		leave!set_cd.alisa.oiltalk_4!art_z-alisa-sun-1_e-alisa-sun-alone-1_4^						Ну ладно...|Okay

	alisa.talk.solar.oil.2.top@26@Нет, конечно. Но тебя я так радовать не собираюсь!|Natürlich nicht, aber ich werde dir keine Show geben.
		random.social.3=1&alisa.talk.solar.oil.2.top.see!set_cd.alisa.oiltalk_4!art_z-alisa-sun-1_e-alisa-sun-alone-2_4!set_alisa.sun.now_1!max_cam.6.grow_200^			Что, стесняешься? [skill.social_3]|Bist du schüchtern? [skill.social_3]
		random.social.3=0&alisa.talk.solar.oil.2.top.cantsee^										Что, стесняешься? [skill.social_3]|Bist du schüchtern? [skill.social_3]
		leave!set_cd.alisa.oiltalk_4!art_z-alisa-sun-1_e-alisa-sun-alone-1_4^						Ну, как хочешь...|Was auch immer

	alisa.talk.solar.oil.2.top.see@31@e-alisa-sun-2@<color=lime><i>Убеждение удалось!</i></color>\nНет, но... Ладно, всё равно тебе ничего не видно... Ну всё, иди гуляй.|<color=lime><i>Überredung erfolgreich!</i></color>\n Nein, aber.... Schön, du kannst sowieso nichts sehen. Und jetzt verschwinde.
		can.massagealisa>0&count.alisa.massage=0&alisa.eromas.no^									Может быть, массаж?|Wie wär's mit einer Massage?
		can.massagealisa>0&count.alisa.massage>0&count.alisa.massage<4&alisa.eromas.maybe^			Может быть, массаж?|Wie wär's mit einer Massage?
		can.massagealisa>0&count.alisa.massage>3&alisa.eromas.yes^									Может быть массаж?|Wie wär's mit einer Massage?
		leave^																						Ладно, загорай...|Okay, ich überlasse es dir....

	alisa.talk.solar.nooil@23@Может быть. Вот только у меня его нет...|Sicher. Habst Du welche?
		leave^																						Ясно. Ну, в другой раз значит...|Nein, tut mir leid. Dann ein anderes Mal.

	alisa.talk.solar.oil.2.top.cantsee@33@<color=orange><i>Убеждение не удалось!</i></color>\nСпасибо, Макс, но на «слабо» меня брать не нужно. Пофантазируй где-нибудь в другом месте. И да, спасибо за кре?.|<color=orange><i>Überredung fehlgeschlagen!</i></color>\nMax, wage es jemand anders. Danke für die Sonnencreme.
		leave!set_cd.alisa.oiltalk_4!art_z-alisa-sun-1_e-alisa-sun-alone-1_4^						Да не ?а что...|Gern geschehen
	alisa.eromas.no@22@Что? Массаж?! Что-то я сомневаюсь, что у тебя руки откуда надо растут. Нет, Макс, спасибо за предложение... Мне и так хорошо...|Ich bezweifle, dass du gut darin bist. Danke für das Angebot, aber mir geht's gut.
		leave^																						Ладно, как скажешь...|Was auch immer

	alisa.eromas.maybe@22@Я конечно помню, как ты делал массаж ножек, но... что-то я не уверена... Вдруг ты навредишь моему позвоночнику? Нет, Макс, в другой раз...|Ich weiß noch, wie du meine Beine massiert hast, aber ich bin nicht sicher.... Was, wenn du meine Wirbelsäule verletzt? Ein anderes Mal, Max.
		leave^																						Ладно, как скажешь...|Was auch immer

	alisa.eromas.yes@31@Ну... Давай... Только массаж, пожалуйста. Не лапать, а нежно, но сильно... В общем, сообразишь...|Nun.... Gut. Aber wir reden über Massage, nicht über Fummeln. Vorsichtig, oder.... Du wirst es herausfinden....
		random.eromas.6=0&alisa.eromas.yes.bad^														<i>начать масса?</i> [skill.eromas_6]|<i>Massage beginnen</i> [skill.eromas_6]
		random.eromas.6=1&alisa.eromas.yes.good!add_skill.massage_2^								<i>начать массаж</i> [skill.eromas_6]|<i>Massage beginnen</i> [skill.eromas_6]

	alisa.eromas.yes.bad@22@<color=orange><i>Алисе не понравился массаж!</i></color>\nМакс, хватит... Что-то не похоже, что ты знаешь, что делаешь... Ну, или ты сегодня не в духе. Давай на этом закончим...|<color=orange><i>Alice mochte die Massage nicht!</i></color>\nHalt, Max.... Sieht nicht so aus, als wüssten Sie, was Sie tun. Oder du hast einfach einen schlechten Tag, aber lass uns für heute aufhören.
		leave^																						Хорошо, извини...|Okay, sorry

	alisa.eromas.yes.good@25@<color=lime><i>Алисе понравилось!</i></color>\nОй... Как приятно... Макс, ты делаешь успехи! Ещё немного попрактикуешься, и к тебе будет сложно записаться на приём!|<color=lime><i>Alice mochte die Massage!</i></color>\nOh.... Du bist heute sehr gut, Max! Mit etwas Übung werden sich die Leute dafür anstellen!
		random.eromas.6=0&alisa.eromas.yes.2.bad^							<i>продолжить</i> [skill.eromas_6]|<i>frotfahren</i> [skill.eromas_6]
		random.eromas.6=1&alisa.eromas.yes.2.good!add_skill.massage_3^		<i>продолжить</i> [skill.eromas_6]|<i>frotfahren</i> [skill.eromas_6]

	alisa.eromas.yes.2.bad@22@<color=orange><i>Алисе не понравился массаж!</i></color>\nА вот сейчас что-то уже не очень... До этого было лучше... Ладно, хватит на сегодня, Макс. И... спасибо!|<color=orange><i>Alice mochte die Massage nicht!</i></color>\nUnd jetzt ist es wieder schlecht.... du hast es so gut gemacht, bevor.... Okay, das reicht für heute, Max, und.... Danke.
		leave^																						Не за что!|Gern geschehen!

	alisa.eromas.yes.2.good@31@<color=lime><i>Алисе понравилось!</i></color>\nЯ прямо таю под твоими ручками... Как тебе удавалось скрывать так долго свой талант?|<color=lime><i>Alice mochte die Massage!</i></color>\nIch schmelze heute unter deinen Händen.... Wie konntest du dein Talent vor mir verbergen?
		random.social.4=1&alisa.eromas.yes.3.flip^				Может быть... переверн?шься? [skill.social_4]|Willst du.... dich umdrehen? [skill.social_4]
		random.social.4=0&alisa.eromas.yes.3.noflip^			Может быть... перевернёшься? [skill.social_4]|Willst du.... dich umdrehen? [skill.social_4]

	alisa.eromas.yes.3.noflip@22@<color=orange><i>Убеждение не удалось!</i></color>\nХорошая попытка, Макс, но... нет. Спасибо за массаж. Ручки у тебя - что надо!|<color=orange><i>Überredung fehlgeschlagen!</i></color>\nNetter Versuch, Max, aber.... nein. Danke für die Massage, du hast goldene Hände!
		leave^													Обращайся, если что...|Jederzeit, Schwester

	alisa.eromas.yes.3.flip@22@n-sun-2@<color=lime><i>Убеждение удалось!</i></color>\nХм... ну, ладно. Только постарайся из штанов не выскочить. И запомни, я ожидаю хороший массаж, а не просто руками полапать!|<color=lime><i>Überredung erfolgreich!</i></color>\nHmmm.... Gut. Aber versuch nicht aus der Hose zu springen. Und denke daran: Ich erwarte eine gute Massage, das ist keine Freibrief!
		random.eromas.6=0&alisa.eromas.yes.3.flip.bad^								<i>массаж груди</i> [skill.eromas_6]|<i>Brüste massieren</i> [skill.eromas_6]
		random.eromas.6=1&alisa.eromas.yes.3.flip.good!add_skill.eromas_5^			<i>массаж груди</i> [skill.eromas_6]|<i>Brüste massieren</i> [skill.eromas_6]

