# --- Шаблон завтрака по умолчанию|Standard-Frühstück

	breakfast.default@0@z-breakfast-family-1@<i>Шаблон завтрака по умолчанию. Данный эвент пока отсутствует.</i>|<i>Die Probe des Frühstücks ist standardmäßig. Dieses Ereignis fehlt jetzt.</i>
		leave!time^						<i>Закончить</i>|<i>Fertig</i>



# --- Завтрак по-умолчанию в обычный день, без Эрика|Standard-Frühstück ohne Eric

	breakfast.default.family@60@z-breakfast-family-1@Всех ещё раз с добрым утром, всем приятного аппетита! Давайте сегодня покушаем в тишине, если вы не возражаете...|Guten Morgen, allerseits, und guten Appetit! Lass uns heute schweigend essen, wenn es nicht stört.
		breakfast.default.family.ok^			Конечно, мам...|Sicher, Mom
		breakfast.default.family.wtf^			А что, что-то случилось?|Warum, ist etwas passiert?

	breakfast.default.family.wtf@75@Нет, просто ещё не проснулась, нужно собраться с мыслями...|Nein, ich bin nur noch nicht richtig aufgewacht.
		leave!time^								Понятно. Приятного аппетита!|Oh, okay. Guten Appetit!

	breakfast.default.family.ok@75@Спасибо за понимание, Макс! Ну, приступим...|Danke für dein Verständnis, Max. Fangen wir an.
		leave!time^								Приятного аппетита!|Guten Appetit!



# --- Завтрак по-умолчанию в обычный день, с Эриком|Standard-Frühstück mit Eric

	breakfast.default.eric@60@z-breakfast-family-2@Всем доброго утра! Давайте сегодня насладимся свежим воздухом и не будем болтать о пустяках...|Guten Morgen, allerseits. Lassen Sie uns ein gutes Wetter genießen und in Ruhe essen....
		leave!time^								Как скажешь, ?ам...|Okay, Mom


# --- Завтрак по-умолчанию в обычный день, с Кирой|Standard-Frühstück mit Kira

	breakfast.default.kira@113@z-breakfast-family-3@Всем приятного аппетита! А вы знаете, что если во время завтрака не отвлекаться на беседы, то можно сосредоточиться на вкусе еды и получить гораздо больше удовольствия!|Guten Appetit, Leute. Ich habe gehört, dass, wenn man beim Frühstück nicht redet, man sich auf den Geschmack konzentrieren kann und das Essen mehr genießen.
		leave!time^								А ты разбираешься в удовольствиях...|Du weißt so viel darüber, wie man das Leben genießt.



# --- Самый первый завтрак|Erstes Frühstück

	bf.1@67@z-breakfast-family-1@Ну, дети, как вам живётся на новом месте? Как спалось в первую ночь?|Also, Kinder, was haltet ihr von unserem neuen Zuhause? Wie war deine erste Nacht?
		bf.1.next^						<i>далее</i>|<i>fortfahren</i>
	#	leave!time!set_can.unboxcam_1^	<i>пропустить <b>(временно)</b></i>|<i>Überspringen <b>(vorübergehend)</b></i>

	bf.1.next@31@Просто нет слов! После той нашей съёмной квартиры это какой-то рай! А кровать какая удобная...|Nach unserer letzten Wohnung ist dies ein Palast! Mein Bett ist so bequem....
		bf.1.price^						Посмотрим, какой ещё счёт придёт за жильё...|Mal sehen, welche Rechnungen wir bekommen.
		bf.1.catch^						Да, это небо и земля. Ещё бы знать, где кидают?|Ja, wie Himmel und Erde. Fühlt sich zu gut an, um wahr zu sein, als gäbe es irgendwo einen Haken....
		bf.1.bed^						А вот у меня кровать точно такая же...|Aber wir haben unsere alten Betten....?

	bf.1.price@69@Да, меня тоже этот вопрос беспокоит. Но на новой работе мне обещают очень хорошую зарплату. Может быть, не всё так плохо. Кстати, за электричество платить не нужно...|Darüber mache ich mir auch Sorgen. Aber ich sollte mit meinem neuen Job gutes Geld verdienen. Vielleicht wird es gar nicht so schlimm. Übrigens, wir müssen nicht für Strom bezahlen.
		bf.1.roof^						Почему не нужно?|Warum nicht?
		bf.1.earn^						Ну, я тоже попробую заработать|Ich werde versuchen, meinen Teil dazu beizutragen.

	bf.1.roof@75@У нас вся крыша состоит из солнечных панелей. Тут какой-то накопитель есть и своей энергии вполне хватает. Даже на отопление хватило бы, если бы не было так жарко!|Das Dach ist mit Sonnenkollektoren gedeckt, sie erzeugen genug Energie, um das ganze Haus zu versorgen. Es würde sogar ausreichen, um zu heizen, nicht dass wir in diesem Klima etwas brauchen.
		bf.1.hot^						<i>далее</i>|<i>fortfahren</i>

	bf.1.hot@46@Да, кстати, очень жарко тут. Я ещё не привыкла к этому климату. С другой стороны, не так жалко ту одежду, что пропала во время переезда.|Ja, es ist wirklich heiß hier drin, ich gewöhne mich immer noch an dieses Klima. Auf der anderen Seite tut mir die verlorene Kleidung nicht so leid, wir könnten das meiste davon sowieso nicht benutzen.
		bf.1.lost^						Ты им звонила, мам, узнала где наши вещи?|Hast du sie wegen unserer Sachen angerufen?
		bf.1.buynew^					Ничего страшного, купим новую!|TEs ist okay, wir kaufen neue Kleidung.
		bf.1.cond^						Я не понял, а где кондиционеры?|Was ich nicht verstehe, ist, warum das Haus keine Klimaanlage hat.

	bf.1.catch@48@А вдруг, нигде не кидают? Хотя я папу и не помню, но мне кажется, что никто не стал бы дарить целый дом только чтобы как-то кинуть...|Vielleicht gibt es keinen Haken? Ich kann mich nicht an Dad erinnern, aber warum sollte uns jemand ein Haus geben, nur um uns später zu verarschen....?
		bf.1.change^					Как знать. Может быть, у него не всё чисто с законом и дом отберут|Wer weiß. Vielleicht hat er rechtliche Probleme und das Haus wird weggenommen.
		bf.1.change^					Верно. У нас толком ничего и не было, чтобы планировать что-то отобрать|Stimmt.... Es ist nicht so, als hätten wir etwas Wertvolles, es gibt keinen Grund, uns für einen Betrug ins Visier zu nehmen.
		bf.1.change^					Хотелось бы так думать...|Wäre das nicht schön....

	bf.1.bed@43@Это потому, что у нас с тобой наши старые кровати. Ты забыл? Кстати, мне нравится моя. Даже не хочу менять её на новую...|Ja, wir haben unsere alten Betten, aber ich liebe meines und will sie nicht ersetzen.
		bf.1.bed.good^					Меня моя тоже устраивает|Ich bin auch mit meinem zufrieden.
		bf.1.earn^						Вот заработаю и куплю себе новую кровать!|Ich werde etwas Geld verdienen und ein neues Bett kaufen.

	bf.1.bed.good@62@Если что, мебель всегда можно будет купить...|Und wenn es sich ändert, können wir immer ein neues Bett kaufen.
		bf.1.earn^						Ага. Кстати, я планирую уже начать зарабатывать!|Ja. Übrigens, ich habe vor, Geld zu verdienen.

	bf.1.earn@26@Ага, и как же ты заработаешь? Образования нет, ничего толком не умеешь. Только дома сидишь всё время в своём ноуте...|Und wie willst du Geld verdienen? Keine Ausbildung, kein Beruf. Du sitzt den ganzen Tag zu Hause vor einem Laptop.
		bf.1.earn.1^					Ой. Кого же мне это всё напоминает?|Hey, das klingt genau wie jemand, den ich kenne.
		bf.1.earn.2^					А вот и заработаю. Научусь что-то делать и сразу заработаю!|Ich werde einige nützliche Fähigkeiten lernen, um Geld zu verdienen.
		bf.1.earn.3^					Ну а ты разве не дома сидишь в своём ноуте? Ты как зарабатывать планируешь?|Du bist einer, der redet, du sitzt nur hinter deinem Laptop. Wie willst du Geld verdienen?

	bf.1.earn.1@24@Может быть, себя? У меня то хоть свой блог есть, а вот у тебя ни-че-го!|Wenn du über mich redest, habe ich wenigstens meinen Blog, du hast nichts.
		bf.1.blog.1!max_talk.blog_1^	И что твой блог тебе даёт?|Und was gibt dir dein Blog?
		bf.1.blog.2!max_talk.blog_1^	Много уже на нём заработала?|Und wie viel hast du damit verdient?
		bf.1.blog.3!max_talk.blog_1^	А у меня есть мозги!|Ich habe ein funktionierendes Gehirn.

	bf.1.blog.1@23@Он даёт подписчиков, аудиторию. Когда начну рекламу крутить, то деньги польются рекой!|Es gibt mir Abonnenten. Ich bekomme einen Haufen Geld aus der Werbung, wenn mein Publikum groß genug ist.
		bf.1.change^					Смотри, не захлебнись... рекой|Nur wenn du ein großes Publikum bekommst.
		bf.1.change^					Ну, посмотрим на твою реку...|Wir werden sehen....

	bf.1.blog.2@23@Ещё нет, но я только набираю аудиторию. А когда придёт время, запущу рекламу и стану богатой!|Nein, ich baue nur mein Publikum auf. Wenn ich das getan habe, fange ich an zu werben und werde reich.
		bf.1.change^					Ага, как Кардашьян|Wäre das nicht schön.
		bf.1.change^					Может быть, тебе подарить губозакатывательную машинку?|Sicher wirst du....

	bf.1.blog.3@31@Мозги? У тебя?! А кого же из школы тогда выперли? Слишком умный для них был, да?|Wie bist du dann von der Schule geflogen, du Genie? Warst du zu schlau für sie?
		bf.1.change^					Да поумнее некоторых...|Ich bin immer noch schlauer als du.
		bf.1.change^					Меня не за оценки выперли!|Ich wurde nicht wegen schlechter Noten rausgeschmissen.
		bf.1.change^					Да мне школа и не нужна|Ich brauche sowieso keine Schule.

	bf.1.earn.2@22@Ага, просиживать штаны ты научишься. Объявлений с предложением работы полно. Выбирай - не хочу.|Nun, bisher hast du nur gelernt, wie man Zeit verschwendet. Es gibt viele Stellenangebote, bitte such dir etwas aus.
		bf.1.change^					Да ты сама дома целыми днями сидишь!|Du bist einer, der redet!
		bf.1.change^					Ага, дворником или посудомойкой?|Ich will kein Hausmeister sein.
		bf.1.change^					Вот сама бы и шла работать по объявлению!|Warum befolgst du nicht deinen eigenen Ratschlag.

	bf.1.earn.3@23@Я делом занимаюсь. Раскручиваю свой блог, набираю аудиторию. А потом, когда придёт время, начну крутить рекламу и всё!|Ich promote meinen Blog. Ich fange an zu monetarisieren, nachdem ich ein Publikum aufgebaut habe.
		bf.1.earn.3.1!max_talk.blog_1^	Ага, всё же так просто...|Ja, als wäre es so einfach....
		bf.1.earn.3.2!max_talk.blog_1^	И что ты будешь рекламировать?|Und was planen Sie zu inserieren?
		bf.1.earn.3.3!max_talk.blog_1^	Сколько миллионов подписчиков у тебя, говоришь?|Und wie viele Millionen Abonnenten habst Du?

	bf.1.earn.3.1@20@А я и не говорю, что это просто. В любом случае, я хоть чем-то занимаюсь, в отличие, от некоторых...|Ich habe nie gesagt, dass es einfach wird. Und anders als <i>einige</i>, versuche ich es zumindest.
		bf.1.change^					Да уж, делом. Деловая...|Dann solltest du dich mehr anstrengen.
		bf.1.change^					Не перетрудись!|Überanstrenge dich nicht.
		bf.1.change^					Я хотя бы реалист!|Ich versuche nur, realistisch zu sein.

	bf.1.earn.3.2@20@А это не важно. Что нужно будет, то и буду рекламировать. А вообще, у меня бьюти-блог!|Das spielt keine Rolle. Ich habe einen Schönheitsblog, also bin ich sicher, dass ich thematisch passende Anzeigen finde. Make-up, Kleidung, es gibt viele Möglichkeiten.
		bf.1.change^					Бьюти-блогеров как грязи. Чем ты лучше их?|Es gibt viele Schönheitsblogger da draußen. Was macht dich besonders?
		bf.1.change^					Думаешь, кому-то нужна твоя реклама?|Glaubst du, dass jemand deine Werbefläche braucht?
		bf.1.change^					Всё фантазируешь...|Viel Glück dabei....

	bf.1.earn.3.3@20@Я не говорила, что у меня миллион подписчиков, но будет. И не один. А вот у тебя вообще ничего нет!|Ich habe nie gesagt, dass ich Millionen von Abonnenten habe, aber das werde ich. Immer noch besser als du.
		bf.1.change^					У меня есть планы и идеи|Ich habe Ideen und Pläne
		bf.1.change^					Я тоже что-то придумаю|Ich werde mir etwas einfallen lassen.
		bf.1.change^					Ага, десять миллионов...|Sicher wirst du das

	bf.1.buynew@26@Ага, вот только купилка у некоторых не выросла ещё!|Und wie willst du dir das leisten? Hast du eine Schatzkiste mit etwas drin gefunden?
		bf.1.buynew.1^					Да моей купилке любой позавидует!|Nein, aber wenn ich eine finde, werde ich definitiv nicht mit dir teilen.
		bf.1.buynew.2^					А у самой то денег куры не клюют, да?|Und du bist so-o-o-o reich, richtig?
		bf.1.earn^						Ну вот возьму и заработаю|Ich werde einen Weg finden, um Geld zu verdienen.

	bf.1.buynew.1@30@Так ты ею будешь зарабатывать? Любопытно...|Ich komme sowieso ohne dich klar. Aber du träumst ständig davon, dass dir ein paar magische Schätze in den Schoß fallen. Nicht, dass man in Wirklichkeit etwas verdienen kann.
		bf.1.change^					Да пошла ты!|Fick dich!
		bf.1.earn.3^					А ты чем зарабатываешь?|Und wie verdient man sein Geld?

	bf.1.buynew.2@24@Я ещё не раскрутилась. Но со временем всё будет в шоколаде!|Ich komme dorthin.
		bf.1.earn.3^					И что ты там раскручиваешь?|Und was tust du dafür?
		bf.1.change^					Не всё то шоколад, что коричневого цвета!|Ich wäre nicht so optimistisch.

	bf.1.lost@60@Звонила. Говорят, отправили в другой город по ошибке, а потом и вовсе потеряли. Обещают компенсировать, но когда - пока неизвестно...|Ja, ich habe angerufen. Sie sagten, es sei versehentlich in eine andere Stadt geschickt worden und habe sich danach verirrt. Sie versprachen, alles zu ersetzen, aber es wird einige Zeit dauern.
		bf.1.lost.1^					Ну и обойдёмся без неё|Wir kommen auch ohne zurecht.
