# --- Шаблон ужина по умолчанию|Standard-Frühstück

	dinner.default@0@z-dinner-family-1@<i>Шаблон ужина по умолчанию. Данный эвент пока отсутствует.</i>|<i>Die Probe des Abendessens ist standardmäßig. Dieses Ereignis ist noch nicht da.</i>
		leave!time^						<i>Закончить</i>|<i>Fertig</i>



# --- Ужин по-умолчанию в обычный день, без Эрика|Standard-Frühstück ohne Eric

	dinner.default.family@60@z-dinner-family-1@Всем приятного аппетита. Сегодня что-то устала. Так что, давайте поужинаем в тишине...|Guten Appetit, Leute. Ich bin heute müde, lass uns leise essen.
		dinner.default.family.ok^				Как скажешь, мам...|Okay, Mom
		dinner.default.family.wtf^				У тебя всё хорошо?|Ist alles in Ordnung?

	dinner.default.family.wtf@75@Да, всё в порядке, Макс. Спасибо, что спросил. Просто, за день столько всего, что пора бы уже и отдохнуть...|Alles in Ordnung, Max, danke der Nachfrage. Ich hatte einen anstrengenden Tag, das ist alles.
		leave!time^								Понятно. Приятного аппетита!|Ich verstehe. Dann guten Appetit.

	dinner.default.family.ok@75@Спасибо за понимание, Макс! Ну, приступим...|Danke für dein Verständnis, Max. Jetzt haut rein.
		leave!time^								Приятного ап?етита!|Guten Appetit

# --- Ужин по-умолчанию в обычный день, с Эриком|Standard-Abendessen mit Eric

	dinner.default.eric@60@z-dinner-family-2@Всем добрый вечер и приятного аппетита!|Guten Abend allerseits und Guten Appetit.
		leave!time^								Ага, приятного аппети?а!|Ja ja, Guten Appetit



# --- Первый семейный ужин|Erstes Abendessen


	dn.1@67@z-dinner-family-1@Я рада, что все смогли сегодня собраться. Всем приятного аппетита! Ну, у кого как день прошёл?|Ich bin froh, dass ihr euch heute zum Essen treffen konntet. Nun, wie war der Tag?
		dn.1.next^								<i>далее</i>|<i>fortsetzen</i>
		#leave!time^								<i>пропустить <b>(временно)</b></i>|<i>Überspringen <b>(vorübergehend)</b></i>

	dn.1.next@20@Мам, да у нас всё как обычно. Это ты рассказывай, как первый рабочий день?|Mom, es geht uns gut, wie immer. Sag uns, wie war dein erster Tag?
		dn.1.aboutjob.1^						<i>далее</i>|<i>fortsetzen</i>

	dn.1.aboutjob.1@60@Вы знаете, довольно неплохо. Такой офис! Такие все важные. Но я смогу там работать и даже планирую подняться по карьерной лестнице...|Du weißt schon, ziemlich gut. So ein Büro! Jeder ist so wichtig. Aber ich kann dort arbeiten und vielleicht sogar befördert werden....
		dn.1.aboutjob.2.whatyoudo^				Напомни, а кем ты работаешь?|Erinnere dich an deinen Titel?
		dn.1.aboutjob.2.where^					А где находится твой офис?|Wo befindet sich das Büro?

	dn.1.aboutjob.2.whatyoudo@62@Что, Макс, с памятью проблемы? Может быть, попросить врача выписать тебе витамины? Я работаю в отделе развития, занимаюсь маркетингом.|Hast du irgendwelche Probleme mit dem Gedächtnis, Max? Vielleicht sollten wir einen Arzt aufsuchen? Ich arbeite in der Entwicklungsabteilung und mache Marketing-Kram.
		dn.1.aboutjob.3.great^					Точно. Ну, поздравляю!|Richtig. Also, meine Glückwünsche!
		dn.1.aboutjob.3.boss^					А с начальником повезло?|Hast du einen guten Manager?

	dn.1.aboutjob.2.where@69@Вот с этим беда. На общественном транспорте добираться долго. Но думаю, что эта проблема решится...|Es ist ein Problem. Mit den öffentlichen Verkehrsmitteln dauert es zu lange. Aber ich hoffe, ich werde dieses Problem lösen....
		dn.1.aboutjob.3.great^					Поздравляю!|Herzlichen Glückwunsch!
		dn.1.aboutjob.3.boss^					А с начальником повезло?|Hast du einen guten Manager?

	dn.1.aboutjob.3.great@67@Спасибо, Макс. Вы всё вопросы задаёте. Поели бы, хоть немного. Кстати, молодец Алиса, что приготовила ужин. Сама я бы ещё долго возилась.|Danke, Max. Du stellst immer noch Fragen. Versuch, etwas zu essen. In der Zwischenzeit bedankt sich Alice für das Abendessen. Ich würde noch lange herumfummeln.
		dn.1.aboutcook^							<i>далее</i>|<i>fortsetzen</i>

	dn.1.aboutcook@31@Не за что. Ты же сама меня научила всему, вот и пожинай плоды! Слушай, ну а кто у тебя начальник на работе?|Es ist mir ein Vergnügen. Du hast mir alles beigebracht, ernte die Belohnung! Hey, nun, wer ist dein Manager bei der Arbeit?
		dn.1.aboutjob.3.boss^					<i>далее</i>|<i>fortsetzen</i>

	dn.1.aboutjob.3.boss@69@Ну мой непосредственный начальник - лысый толстый мужик, которого все ненавидят. Думаю, его скоро сменят. А вот босс моего начальника...|Nun, mein direkter Manager - ein glatzköpfiger, fetter Mann, den jeder hasst. Ich denke, es wird sich bald ändern. Aber der Manager meines Managers....
		dn.1.aboutjob.4.boss^					А что с ним?|Was ist mit ihm los?
		dn.1.aboutjob.4.boss^					Ещё толще и лысее?|Noch dicker und kahler?

	dn.1.aboutjob.4.boss@62@Вот он - мужчина что надо! Сразу меня заметил, помог разобраться в делах. И даже до дома подвёз! Может быть, он мне даже личного водителя выделит!|Hier ist er - der echte Mann! Er bemerkte mich sofort, half bei der Lösung der Aufgaben. Er nimmt mich sogar mit nach Hause! Er sagte, dass mir vielleicht ein persönlicher Fahrer zugeteilt wird!
		dn.1.aboutjob.5.wow^					Ого! Да он в тебя влюбился?|Wow! Sieht aus, als hättest du dich verliebt!
		dn.1.aboutjob.boss.name^				И как его зовут?|Also, wie ist sein Name?
		dn.1.aboutjob.5.bad^					Мне кажется, это плохая идея|Ich denke, es ist eine schlechte Idee.

	dn.1.aboutjob.5.bad@41@Макс! Мама давно ни с кем не общалась и если нашла себе босса начальника, то какой от этого может быть вред?|Max! Mama hat schon lange nicht mehr mit Menschen kommuniziert und wenn sie einen Manager ihres Managers zum Reden gefunden hat, wie kann das schädlich sein?
		dn.1.aboutjob.5.bad.fired^				А вред такой, что если поссорится, её уволят!|Der Schaden ist so groß, dass, wenn sie sich streiten, sie gefeuert wird!
		dn.1.aboutjob.5.bad.right^				Может, ты и права...|Vielleicht hast du Recht....

	dn.1.aboutjob.5.bad.fired@48@Мне кажется, что если ссориться со своим боссом, то так и так могут уволить...|Ich schätze, wenn Sie mit Ihrem Manager streitet, wird man Sie sowieso feuern....
		dn.1.aboutjob.5.bad.right^				Тоже верно...|Es ist auch die Wahrheit....

	dn.1.aboutjob.5.bad.right@43@Мам, похоже и он тебе нравится, да?|Mom, sieht so aus, als ob du ihn magst, oder?
		dn.1.aboutjob.5.wow.yes ja^				<i>далее</i>|<i>fortsetzen</i>

	dn.1.aboutjob.5.wow@60@Почему сразу влюбился? Может быть, он джентльмен, который помогает новенькой на новом месте работы...|Warum ist er sofort verliebt? Vielleicht ist er ein Gentleman, der Neulingen am ersten Tag hilft....
		dn.1.aboutjob.5.wow.yes ja^				Да, точно! А может быть, и он тебе нравится?|Ja ja, richtig. Und vielleicht magst du ihn auch?
		dn.1.aboutjob.boss.name^				И как его зовут?|Also, wie ist sein Name?

	dn.1.aboutjob.boss.name@67@Его зовут Эрик. Фамилия вам ничего не даст, так что, это не важно. Может быть, я вас однажды и познакомлю...|Sein Name ist Eric. Vielleicht stelle ich ihn dir mal vor....
		dn.1.aboutjob.5.wow.yes ja^				Значит, он тебе нравится...|Du magst ihn also....

	dn.1.aboutjob.5.wow.yes ja@73@Я уже сказала, что он симпатичный молодой парень и это нормально... Или не сказала? Не важно. Хватит меня допрашивать, всё остывает!|Ich habe schon gesagt, dass er ein süßer junger Mann ist und das ist ziemlich normal.... oder nicht? Das spielt keine Rolle. Genug, um mich zu verhören, alles kühlt sich ab!
		dn.1.changetheme^						<i>далее</i>|<i>fortsetzen</i>

	dn.1.changetheme@67@Сегодня не у меня одной первый день. Лиза тоже пошла в новую школу. Рассказывай, как у тебя всё прошло?|Heute ist nicht nur für mich ein besonderer Tag. Lisa hat eine neue Schule besucht! Sagen Sie uns, wie es war?
		dn.1.school.1^							<i>далее</i>|<i>fortsetzen</i>

	dn.1.school.1@48@Ну, школа находится тут совсем рядом, почти за углом. Уроки короткие, занятий мало. Но преподают интересно, гораздо лучше, чем в старой школе. Думаю, здесь даже Максу понравилось бы учиться!|Nun, die Schule ist ganz in der Nähe, fast um die Ecke. Der Unterricht ist kurz, wenig Training. Aber der Unterricht ist interessant, viel besser als in der alten Schule. Ich denke, sogar Max hätte es gerne gelernt!
		dn.1.school.2^							<i>далее</i>|<i>fortsetzen</i>

	dn.1.school.2@67@Ну а ученики какие? Повезло с классом? Уже завела себе друзей и подруг?|Was ist mit deinen Klassenkameraden? Sind sie gut? Hast du schon Freunde?
		dn.1.school.3^							<i>далее</i>|<i>fortsetzen</i>

	dn.1.school.3@41@Да, познакомилась... с одной подружкой. Класс супер, всё хорошо, мам!|Ja ja, ein.... nettes Mädchen kennenlernen. Der Unterricht ist fantastisch, alles toll, Mom!
