# --- Разговор с Эриком после ужина, где определяется формат будущих отношений|Erstes Gespräch mit Eric, wenn Max entscheidet, ob er mit oder gegen ihn ist.

	eric.main.talk@80@e-meet-eric-3@Макс, пока твоя мама переодевается, я бы хотел с тобой поговорить. С глазу на глаз, так сказать...|Max, ich möchte mit dir unter vier Augen reden, während deine Mom sich umzieht.
		eric.first.emp=2&eric.main.talk.good!set_eric.level_7^	Конечно...|Natürlich....
		eric.first.emp=1&eric.main.talk.mid!set_eric.level_5^	Ну, давай...|Nun, okay
		eric.first.emp=0&eric.main.talk.bad!set_eric.level_3^	У меня есть выбор?|Habe ich eine Wahl?

	eric.main.talk.good@87@Я заметил, что ты настроен вполне дружелюбно. Для меня важно подружиться с твоей семьёй, чтобы твоя мама не испытывала дискомфорт на этой почве, если ты меня понимаешь...|Ich habe bemerkt, dass du freundlich bist. Es ist wichtig für mich, mich mit deiner Familie anzufreunden, damit deine Mom sich nicht unwohl fühlt.
		eric.main.talk.next.good!add_eric.level_1^				Понимаю, хорошо...|Ich verstehe
		eric.main.talk.next.bad!add_eric.level_-1^				И зачем мне это?|Und warum sollte mich das interessieren?

	eric.main.talk.mid@82@Я знаю, что мы начали знакомство не идеально, но мне показалось, что мы можем найти общий язык. Для меня важно, чтобы твоя мама не испытывала какой-либо дискомфорт из-за этого...|Ich weiß, wir hatten einen schwierigen Start, aber ich denke, wir können eine gemeinsame Sprache finden. Es ist wichtig für mich, dass deine Mom sich deswegen nicht unwohl fühlt.
		eric.main.talk.next.good!add_eric.level_1^				Понимаю, хорошо...|Okay
		eric.main.talk.next.bad!add_eric.level_-1^				И зачем мне это?|Und warum sollte mich das interessieren?

	eric.main.talk.bad@81@Ты знаешь, мы начали знакомство как-то совсем неудачно. Предлагаю как-то уладить этот конфликт. Я бы очень не хотел, чтобы твоя мама испытывала дискомфорт по этому поводу...|Ich weiß, wir hatten einen schlechten Start, aber ich möchte, dass wir eine zivilisierte Beziehung haben. Ich möchte nicht, dass sich deine Mom Sorgen wegen uns macht.
		eric.main.talk.next.good!add_eric.level_1^				Понимаю, хорошо...|Ich verstehe
		eric.main.talk.next.bad!add_eric.level_-1^				И зачем мне это?|Und warum sollte mich das interessieren?

	eric.main.talk.next.good@86@Отлично. Если мы подружимся, ты не пожалеешь, Макс. Но, чтобы убедиться, давай вернёмся к этому разговору через неделю. Если мы найдём общий язык, то всё будет отлично. Ну а если нет...|Ausgezeichnet. Wenn wir Freunde werden, wirst du es nicht bereuen, Max. Aber lass uns in einer Woche auf dieses Gespräch zurückkommen. Wenn wir eine gemeinsame Sprache finden, dann wird alles gut. Und wenn nicht....
		eric.main.talk.next.good.what^							А если нет, то что?|Und wenn nicht, was dann?
		eric.main.talk.next.friend!add_eric.level_2^			Думаю, подружимся...|Ich denke, wir werden Freunde sein.

	eric.main.talk.next.bad@86@Я бы на твоём месте не искал врага там, где его нет. Предлагаю вернуться к этому разговору через неделю. Если мы подружимся, ты не пожалеешь. А вот если решишь со мной воевать, то ты точно проиграешь...|Wenn ich du wäre, würde ich nicht nach Feinden suchen, wo es keine gibt. Ich schlage vor, in einer Woche zu dieser Unterhaltung zurückzukehren. Wenn wir Freunde werden, wirst du es nicht bereuen. Aber wenn du dich entscheidest, gegen mich zu kämpfen, dann wirst du verlieren....
		eric.main.talk.next.good.what^							Это ещё почему?|Und warum ist das so?
		eric.main.talk.next.friend!add_eric.level_1^			Да я не собираюсь воевать...|Ich werde nicht gegen dich kämpfen.

	eric.main.talk.next.good.what@87@Если решишь испытать судьбу, то сам всё скоро узнаешь. У меня есть влияние, деньги, харизма. А главное - я умею убеждать и подчинять других людей. А что есть у тебя?|Wenn du dich entscheidest, dein Glück zu versuchen, dann wirst du es früh genug wissen. Ich habe Einfluss, Geld, Ausstrahlung. Und das Wichtigste ist, dass ich andere überzeugen und unterwerfen kann. Was hast du schon?
		eric.main.talk.next.friend!add_eric.level_1^			Да верю, верю. Я просто спросил и не хочу ссориться...|Ich glaube dir. Ich will nicht gegen dich kämpfen, ich war nur neugierig.
		eric.main.talk.next.good.what.trust!add_eric.level_-2^	Меня все любят и мне поверят, что ты мне угрожал!|Jeder liebt mich und sie werden mir glauben, wenn ich sage, dass du mich bedroht hast!
		eric.main.talk.next.good.what.smart!add_eric.level_-2^	У меня есть мозги и я что-нибудь придумаю!|Ich werde mir etwas ausdenken.

	eric.main.talk.next.good.what.smart@83@Серьёзно? И как ты с этими мозгами довёл ситуацию до того, что Алиса в тебе видит маленького извращенца, подглядывающего из-за угла. Лиза рядом только потому, что других защитников не было, а мать... смотрит на тебя как на неудачника!|Wirklich? Wenn du so klug bist, wie kommt es dann, dass Alice denkt, du wärst ein kleiner Perverser, Lisa ist dir nur nahe, weil sie keine andere Wahl hatte, und deine Mom.... sie sieht dich an, als wärst du ein Verlierer!
		eric.main.talk.bullshit^								Не верю! Всё не так!|Ich glaube dir nicht! Du irrst dich!
