# --- 0.3: Приезд Киры|Kira's Ankunft

	specialevent.4@75@e-meet-eric-1@Ну что, дети, дождались? Встречайте, к нам приехала тётя Кира!|He, Kinder, kommt her! Hier ist Tante Kira!
		sp.4.next.1!set_can.seekira_1!set_tier_2^	Супер!|Super!

	sp.4.next.1@101@e-kira-come-1@Это кто тут у нас? Макс? Я тебя не узнала! Почти настоящий мужчина!|Wen haben wir hier? Bist du das, Max? Ich habe dich kaum erkannt! Wow, du bist fast ein erwachsener Mann!
		sp.4.next.3^					Здравствуй, тётя Кира!|Hi, Tante Kira!
		sp.4.next.2b^					Что значит почти? Я настоящий мужчина!|Was meinst du mit "fast"? Ich bin schon ein Mann!

	sp.4.next.2b@102@e-kira-come-0@Да я шучу, Макс. Конечно, ты уже мужчина. Вижу, всё у тебя в порядке. И как ты только держишься среди таких девчонок? Кстати, где Лиза и Алиса?|Ich mache nur Spaß, Max. Natürlich bist du ein Mann. Ich sehe, dass du erwachsen bist! Wie schaffst du es überhaupt unter all diesen Damen? Übrigens, wo sind Lisa und Alice?
		sp.4.next.3^					Уже бегут...|Hier sind sie....

	sp.4.next.3@103@e-kira-come-2@Лиза? Алиса? Неужели, это вы? Все такие большие, с меня ростом!|Lisa, Alice? Seid ihr das? Ihr seid so groß, ihr seid so groß wie ich!
		sp.4.next.4^					<i>далее</i>|<i>fortfahren</i>

	sp.4.next.4@43@e-kira-come-3@Тётя Кира! Ура! Я так соскучилась!|Tante Kira! Ich habe dich so sehr vermisst!
		sp.4.next.5^					Хорошую подушку ты нашла...|Du hast hier ein schönes Bett....

	sp.4.next.5@31@e-kira-come-4@Я так рада, что ты приехала! Ты же надолго, да?|Ich bin so froh, dass du gekommen bist! Wirst du für eine längere Zeit bleiben?
		sp.4.next.6^					<i>далее</i>|<i>fortfahren</i>

	sp.4.next.6@104@Что, уже выгоняете?!|Wirfst du mich schon raus?
		sp.4.next.7^					<i>далее</i>|<i>fortfahren</i>

	sp.4.next.7@75@Что ты, Кира, оставайся хоть навсегда! Я тоже очень рада тебя видеть, сестрёнка!|Natürlich nicht, Kira! Ich bin so froh, dich zu sehen und dass du für immer bleiben kannst, wenn du willst!
		sp.4.next.8^					А мне можно тоже обнять свою тётю?|Kann ich meine Tante auch umarmen?
		sp.4.next.9^					<i>далее</i>|<i>fortfahren</i>

	sp.4.next.8@42@Нет! Она моя! Никому не отдам!|Nein! Sie gehört mir! Hol dir eine andere!
		sp.4.next.9^					Ну и ладно. Я тогда... потом.|Gut. Vielleicht später

	sp.4.next.9@62@Кира, ты меня удивляешь! Не в мини-юбке... да ещё и такая нарядная! Неужели, прямо в таком виде летела в самолёте?|Kira, du überraschst mich! Du trägst keinen Minirock und bist stattdessen schick angezogen! Bist du in diesem Aufzug geflogen?
		sp.4.next.10^					Да, кстати...|Ja, ich bin auch neugierig.

	sp.4.next.10@103@Нет, что ты. Я прилетела пару дней назад и остановилась в гостинице. Просто... нужно было разобраться кое с чем. Но с делами покончено и специально ради вас я наряжалась всё утро!|Nein, natürlich nicht. Ich bin vor ein paar Tagen hierher geflogen und habe im Hotel Halt gemacht. Ich hatte.... ein paar Dinge zu erledigen. Aber jetzt, da das Geschäft vorbei ist, habe ich mich nur für dich herausgeputzt!
		sp.4.next.11a^					В гостинице?|In einem Hotel?
		sp.4.next.11b^					Дела?|Was für ein Geschäft?
		sp.4.next.11a^					Так ты два дня здесь?|Du bist schon seit zwei Tagen hier?

	sp.4.next.11a@100@Да, я прошу прощения, что не предупредила, но не могла завалиться к вам, чтобы тут же убежать. Но я со всем разобралась, всё в порядке, теперь я тут!|Es tut mir leid, dass ich es dir nicht früher gesagt habe, aber ich wollte nicht kommen und sofort wieder gehen. Deshalb habe ich mein ganzes Geschäft erledigt, bevor ich herkam. Aber jetzt ist alles vorbei und ich bin hier!
		sp.4.next.12^					А мне любопытно, что за дела?|Ich würde gerne etwas über das Geschäft wissen.

