myroom=МОЯ\nКОМНАТА|Mein \nZimmer
sisroom=КОМНАТА\nАЛИСЫ|Alice's \nZimmer
momroom=КОМНАТА\nМАМЫ|Mom's \nZimmer
bathroom=ВАННАЯ\nКОМНАТА|Badezimmer
lounge=ГОСТИНАЯ|Wohnzimmer
veranda=ВЕРАНДА|Terrasse
pool=БАССЕЙН|Pool

wait=ЖДАТЬ|1h \nWarten
dishes=МЫТЬ\nПОСУДУ|Geschirr \nspuelen
talk=ПОГОВОРИТЬ|Reden
sleep=СПАТЬ|Schlafen
notebook=ВКЛЮЧИТЬ\nНОУТБУК|Laptop \nstarten
unbox=РАЗОБРАТЬ\nКОРОБКИ|Umzugskisten \nentpacken
searchcam=ИСКАТЬ\nКАМЕРУ|überwachungskamera \nsuchen
readbook=ЧИТАТЬ|Buch lesen
clearpool=ЧИСТИТЬ\nБАССЕЙН|Pool \nsaeubern
searchbook=ИСКАТЬ\nКНИГУ|Nach dem Buch \nsuchen
searchciga=ИСКАТЬ\nСИГАРЕТЫ|Zigaretten \nsuchen
catchspider=ИСКАТЬ\nПАУКОВ|Spinnen \nsuchen
throwspider=БРОСИТЬ\nПАУКА|Spinne \nwerfen
hidespider=СПРЯТАТЬ\nПАУКА|Spinne \nverstecken
install=УСТАНОВИТЬ\nКАМЕРУ|Kamera \ninstallieren
usb=УСТАНОВИТЬ\nКЕЙЛОГГЕР|Keylogger \ninstallieren
touch=ПОИГРАТЬ\nС ЛИЗОЙ|Mit Lisa \nSpass haben
city=ВЫЙТИ\nИЗ ДОМА|Das Haus  \nverlassen
momovie=ПОСМОТРЕТЬ\nФИЛЬМ|Einen Film\nschauen

sunday=ВОСКРЕСЕНЬЕ|Sonntag
monday=ПОНЕДЕЛЬНИК|Montag
tuesday=ВТОРНИК|Dienstag
wednesday=СРЕДА|Mittwoch
thursday=ЧЕТВЕРГ|Donnerstag
friday=ПЯТНИЦА|Freitag
saturday=СУББОТА|Samstag

0.short=ВС|So
1.short=ПН|Mo
2.short=ВТ|Di
3.short=СР|Mi
4.short=ЧТ|Do
5.short=ПТ|Fr
6.short=СБ|Sa

theday=ДЕНЬ|TAG

1.month=ЯНВ|Jan
2.month=ФЕВ|Feb
