# --- Interrupt: Лиза возвращается из новой школы в первый раз|Lisa kehrt zum ersten Mal von der Schule zurück

	liza.inc.fromschool.1@48@e-liza-incoming-1@Привет, Макс! Я вернулась.|Hi, Max! Ich bin zurück!
		liza.inc.fromschool.1.so^												Супер! Как первый день?|Großartig! Wie war dein erster Schultag?

	liza.inc.fromschool.1.so@41@Да ничего так. Но потом поболтаем. Сейчас переоденусь и прыгну в бассейн. Только об этом и мечтала целый день!|Es war in Ordnung. Wir reden später, ich will mich umziehen und ein bisschen schwimmen. Ich habe mich den ganzen Tag auf diesen Moment gefreut!
		leave!move_pool!rem_liza.inc.fromschool.1!set_talk.firstday_1!can^		Хорошо, здесь и поговорим|Okay, lass uns am Pool reden.



# ---  Разговор с Лизой в первый игровой день|Gespräch über Lisas ersten Schultag

	liza.talk.firstday.init@0@О школе...|Über die Schule....
	liza.talk.firstday@40@Неужели, я дома! До сих пор не могу поверить, что ЭТО наш дом!|Ich kann immer noch nicht glauben, dass <i>dies</i> unser neues Zuhause ist!
		liza.talk.firstday.shock^											Да я сам в шоке!|Ich auch nicht!
		liza.talk.firstday.school^											Так как дела в школе?|Wie war dein erster Tag?
		liza.talk.firstday.way^												Не заблудилась по дороге?|Hast du deine Schule ohne Probleme gefunden?

	liza.talk.firstday.shock@43@Вот-вот! Целый день думала о нашем бассейне. Неужели, здесь всегда такая погода?|Ich habe den ganzen Tag von unserem Pool geträumt. Und das Wetter ist toll!
		liza.talk.firstday.shock.yes^										Да, мы почти в раю|Yep, fühlt sich an wie der Himmel!
		liza.talk.firstday.shock.dontknow^									Может быть, тут ураганы бывают?|Vielleicht werden wir von Hurrikans geplagt?

	liza.talk.firstday.shock.yes@41@Хотелось бы так думать...|Das wäre schön....
		liza.talk.firstday.school^											Ну, как дела в школе?|Jedenfalls, wie läuft es in der Schule?
		liza.talk.firstday.way^												Нашла дорогу домой от школы?|Hast du deine Schule ohne Probleme gefunden?

	liza.talk.firstday.shock.dontknow@41@Ага! И сезон дождей 11 месяцев в году!|Ja, und eine Regenzeit von 11 Monaten im Jahr!
		liza.talk.firstday.school^											Ну, как дела в школе?|Jedenfalls, wie läuft es in der Schule?
		liza.talk.firstday.way^												Нашла дорогу домой от школы?|Hast du deine Schule ohne Probleme gefunden?

	liza.talk.firstday.way@41@Ты знаешь, тут школа совсем рядом! Пять минут и я на месте. К тому же, топографическим кретинизмом не страдаю... Ты же поэтому из дома не выходишь, да?|Die Schule ist gleich um den Block, nur fünf Minuten entfernt! Und es ist nicht so, als hätte ich einen topographischen Idiotismus wie jemand hier.... Das ist der Grund, warum du das Haus nie verlässt, oder?
		liza.talk.firstday.way.lol^											Очень смешно!|Ha-ha!
		liza.talk.firstday.school^											Хм... Ты слишком счастливая. Что-то случилось в школе?|Hmmm.... Du siehst zu glücklich aus. Ist in der Schule etwas passiert?

	liza.talk.firstday.way.lol@48@Ну а почему же ты тогда всё время дома сидишь? Что в старой квартире, что тут. Ты же сегодня даже из дома не выходил?|Warum verlässt du dann nie das Haus? Du warst immer zu Hause in unserem alten Haus und bist auch heute noch nicht gegangen, oder?
		liza.talk.firstday.way.lol.ilike^									А меня всё устраивает|Mir gefällt es hier
		liza.talk.firstday.way.lol.nofriends^								Здесь я никого не знаю|Ich kenne niemanden.
		liza.talk.firstday.way.lol.hate^									Просто... не люблю людей|Es ist nur.... Ich mag die Leute nicht besonders.

	liza.talk.firstday.way.lol.hate@43@Вот это признание! А нас ты просто терпишь, да?|Wow, das ist ein ziemliches Geständnis! Und was ist mit der Familie, du tolerierst uns kaum, oder?
		liza.talk.firstday.way.lol.ilike^									Ну, приходится...|Nun, ich habe keine Wahl....
		liza.talk.firstday.way.lol.hate.no^									Вы - исключение|Du bist die Ausnahme.
		liza.talk.firstday.way.lol.hate.joke^								Да я пошутил|Ich habe nur Spaß gemacht.

	liza.talk.firstday.way.lol.hate.no@41@Ну спасибо и на том. Если что, то ты тоже ничего...|Danke. Mir geht es auch gut.
		liza.talk.firstday.school^											Так что там в школе?|Jedenfalls, wie läuft es in der Schule?

	liza.talk.firstday.way.lol.hate.joke@41@Я так и поняла! Вообще, шутки у тебя... как всегда!|Wie immer hat mich dein tadelloser Sinn für Humor von den Füßen gerissen.
		liza.talk.firstday.school^											Так что там в школе?|Jedenfalls, wie läuft es in der Schule?

	liza.talk.firstday.way.lol.ilike@49@Бедняжка. Ну, ничего. И тебя вылечат!|Awww, du armes Baby....
		liza.talk.firstday.school^											Так что там в школе?|Jedenfalls, wie läuft es in der Schule?

	liza.talk.firstday.way.lol.nofriends@46@Понимаю. Я тоже никого не знаю... почти.|Ich verstehe, ich kenne hier so gut wie niemanden.
		liza.talk.firstday.meetsomeone^										Почти? С кем-то познакомилась?|Niemandem? Hast du jemanden kennengelernt?
		liza.talk.firstday.school^											Так что там в школе?|Jedenfalls, wie läuft es in der Schule?

