# --- Разговор с мамой по поводу инцидента в ванной|Gespräch über die Veranstaltung im Bad

	mom.talk.mombathinc.1.init@0@Насчёт того случая в ванной...|Wegen der Zeit im Badezimmer ...
	mom.talk.mombathinc.1@73@Макс, давай не будем об этом вспоминать, хорошо?|Max, können wir diesen Vorfall nicht einfach nie wieder erwähnen?
		mom.talk.mombathinc.1.sorry^										Я хотел извиниться...|Ich wollte mich entschuldigen....
		mom.talk.mombathinc.1.fun^											Но было же весело?|Aber es hat Spaß gemacht, nicht wahr?
		mom.talk.mombathinc.1.again^										Зато мы стали ближе|Es brachte uns näher zusammen.

	mom.talk.mombathinc.1.sorry@62@Извинения принимаются. Вообще, как ты додумался до такого, находясь в метре от меня?|Ich akzeptiere deine Entschuldigung. Wie konntest du das überhaupt tun, direkt vor deiner Mutter?
		mom.talk.mombathinc.1.sorry.dono^									Это само получилось...|Es war nicht wirklich eine bewusste Entscheidung....
		mom.talk.mombathinc.1.sorry.nice^									Просто, я не видел голых женщин так близко...|Ich habe noch nie nackte Frauen so nah gesehen.

	mom.talk.mombathinc.1.sorry.dono@69@Видимо, гормоны играют в столь юном теле... Ну тебе хоть было стыдно?|Ich schätze, wir können es mit Hormonen begründen.... Schämst du dich für dein Verhalten?
		mom.talk.mombathinc.1.sorry.dono.shy^								Мне, правда, очень стыдно!|Natürlich tue ich das!
		mom.talk.mombathinc.1.sorry.dono.dontshy^							Разве надо стесняться своей мамы?|Warum sollte ich mich schämen, du bist meine Mutter!

	mom.talk.mombathinc.1.sorry.dono.shy@60@Я рада, что хорошо тебя воспитала! Ладно, давай постараемся обо всём забыть. Ничего страшного не произошло.|Ich bin froh, dass ich dich richtig erzogen habe. Wie auch immer, lass uns einfach versuchen, das alles zu vergessen.
		mom.talk.mombathinc.1.forgot^										Хорошо, мам!|Okay, Mom

	mom.talk.mombathinc.1.sorry.dono.dontshy@69@Ты прав, Макс. Но... одно дело раздеться и другое - делать такое... Ладно, давай об этом забудем.|Du hast Recht, aber es gibt einen großen Unterschied zwischen nackt vor deiner Mutter und dem, was du damals gemacht hast.... Wie auch immer, vergessen wir es einfach.
		mom.talk.mombathinc.1.forgot^										Ты права, давай|Du hast Recht, lass uns das machen.

	mom.talk.mombathinc.1.sorry.nice@67@И правильно. В твоём возрасте рано о таком думать.|Es ist okay, du solltest sowieso nicht über solche Sachen nachdenken.
		mom.talk.mombathinc.1.sorry.nice.find^								Ты же сама сказала, чтобы я нашёл себе девушку?|Hast du mir nicht gesagt, ich soll eine Freundin finden?
		mom.talk.mombathinc.1.sorry.nice.you^								А ты в каком возрасте начала думать о мужчинах?|Mom, wie alt warst du, als du angefangen hast, an Jungs zu denken?

	mom.talk.mombathinc.1.sorry.nice.find@62@Да, но... я немного погорячилась. Ты ещё слишком молод для такого.|Ja, aber.... Es war spontan. Du bist zu jung dafür.
		mom.talk.mombathinc.1.sorry.nice.find.what^							И что мне делать тогда?|Was soll ich dann tun?

	mom.talk.mombathinc.1.sorry.nice.find.what@60@В каком смысле?|Was meinst du damit?
		mom.talk.mombathinc.1.sorry.nice.find.what.if^						Ну, когда я возбуждаюсь...|Ich meine, wenn ich aufgeregt bin.
		mom.talk.mombathinc.1.sorry.nice.find.what.if^						В смысле, когда член встаёт!|Ich meine, wenn ich hart werde.

