# Все игровые вариативные диалоги|alle Dialoge

	basic.talk@0@text-will-be-replaced|text-will-be-replaced
		leave^				<i>end</i>|<i>end</i>



# --- Разговоры, когда NPC не в настроении|Wenn NPCs schlechte Laune haben, sagen sie Max, er soll sich verpissen.

	# --- Настроение -4... -3, т.е. всё ну совсем плохо|Wirklich schlechte Laune, -4.... -3
	badbadmood.alisa@28@Да пошёл ты! Не хочу тебя видеть даже!|Fick dich! Ich will dich jetzt nicht sehen!
		leave^														Хорошо...|Fein
		alisa.cansorry=0&alisa.asksorry!add_alisa.cansorry_1^		Я хотел извиниться|Ich möchte mich entschuldigen.
	badbadmood.liza@44@Макс, уйди. Не хочу тебя видеть!|Max, geh weg. Ich will dich nicht sehen!
		leave^														Ок...|Ok
		liza.cansorry=0&liza.asksorry!add_liza.cansorry_1^			Я хотел извиниться|Ich möchte mich entschuldigen.
	badbadmood.Mom@74@Макс, я сейчас в очень плохом настроении и не хочу с тобой разговаривать|Max, ich habe schlechte Laune und will nicht mit dir reden.
		leave^														Понял...|Okay
		mom.cansorry=0&mom.asksorry!add_mom.cansorry_1^				Я ?отел извиниться|Ich möchte mich entschuldigen.
	# --- Настроение -2... -1, т.е. всё ещё всё очень плохо|Wirklich schlechte Laune, -2... -1
	badmood.alisa@28@Макс, отвали! Я не хочу с тобой разговаривать|Hau ab, Max! Ich will nicht mit dir reden.
		leave^														Хорошо...|Fein
		alisa.cansorry=0&alisa.asksorry!add_alisa.cansorry_1^		Я хотел извиниться|Ich möchte mich entschuldigen.
	badmood.liza@44@Макс, уйди пожалуйста. Не хочу сейчас общаться|Max, bitte geh weg. Ich will jetzt nicht reden!
		leave^														Ок...|Ok
		liza.cansorry=0&liza.asksorry!add_liza.cansorry_1^			Я хотел извиниться|Ich möchte mich entschuldigen.
	badmood.Mom@74@Макс, я сейчас не в настроении и не хочу разговаривать|Max, ich bin nicht in der Stimmung und will nicht reden.
		leave^														Понял...|Okay
		mom.cansorry=0&mom.asksorry!add_mom.cansorry_1^				Я хотел извиниться|Ich möchte mich entschuldigen.

	# --- Настроение хорошее, но ещё недостаточное для разговора|Die Stimmung ist nicht schlecht, aber es ist immer noch nicht gut genug, um über etwas Bestimmtes zu reden.
	normalmood.alisa@28@Макс, давай не сейчас...|Max, nicht jetzt...
		leave^														Хорошо...|Fein
	normalmood.liza@44@Не сейчас, Макс...|Nicht jetzt, Max...
		leave^														Ок...|Ok
	normalmood.Mom@74@Макс, не сейчас, хорошо?|Max, nicht jetzt, okay?
		leave^														Конечно|Natürlich



# --- Макс пытается извиняться|Max versucht sich zu entschuldigen.

	alisa.asksorry@23@Хотел извиниться? Каким образом?|Wie?
		leave^									Ты знаешь, я передумал...|Weißt du, ich habe meine Meinung geändert....

	liza.asksorry@46@Извиниться? Как?|Entschuldigen? Wie?
		leave^									Кажется, я передумал...|Ich glaube, ich habe meine Meinung geändert....

	mom.asksorry@62@Да? Я тебя слушаю?|Ich höre
		leave^									В другой раз...|Ein anderes Mal



# --- Разговоры, когда кулдаун ещё не обнулился|Die Abklingzeit ist noch nicht vorbei.

	diaTired.alisa.0@23@Макс... Не сейчас.|Nicht jetzt, Max.
		leave^					Ладно...|Okay

	diaTired.liza.0@46@Макс, давай поговорим об этом в другой раз|Lassen Sie uns über dieses ein anderes Mal besprechen.
		leave^					Хорошо, Лиза...|Okay, Lisa

	diaTired.mom.0@69@Макс, д?вай сменим тему...|Max, lass uns das Thema wechseln.		leave^					Ок, мам...|Okay, Mom.



# --- Доставка товаров|Lieferung

	delivery.talk@138@e-delivery-1@Здравствуйте! По этому адресу на сегодня назначена доставка. Распишитесь?|Hallo! Ich habe eine Bestellung für diese Adresse. Darf ich Sie bitten, hier zu unterschreiben?
		delivery.talk.what^			Конечно! А что тут?|Sicher, was ist da drin?

	delivery.talk.what@138@text-will-be-replaced|text-will-be-replaced
		leave!delivery^				Да, то что нужно. Спасибо!|Ja, das habe ich bestellt. Danke!



# --- Макс спит|Max ist eingeschlafen

	max.sleep@7@e-max-sleep-1@Как же я хочу спать...|Ich will wirklich schlafen.
		midnight=0&leave!sleep^			<i>?пать до утра</i>|<i>Schlafen bis morgens</i>
		midnight=1&liza.night.m1^		<i>спать до утра</i>|<i>Schlafen bis morgens</i>
		midnight=2&liza.night.m2^		<i>спать до утра</i>|<i>Schlafen bis morgens</i>
		midnight=3&liza.night.m3^		<i>спать до утра</i>|<i>Schlafen bis morgens</i>


# --- Макс разбирает коробки|Max beim auspacken der Kisten

	max.unboxcam@15@e-cambox@Так, мама попросила разобрать коробки. Сейчас глянем, что тут у нас...|Also hat Mom darum gebeten, die Kisten zu sortieren. Mal sehen, was wir hier haben....
		max.unboxcam.1!set_can.unboxcam_2^						<i>далее</i>|<i>fortfahren</i>
	max.unboxcam.1@6@Жаль, но все коробки пустые... Но что это такое? Какая-то камера?|Schade, dass die Kisten leer sind.... aber was ist das? Eine Art Kamera?
		max.unboxcam.2^											<i>прочитать бумажки</i>|<i>Lesen Sie die Anleitung</i>
	max.unboxcam.2@3@Тут внутри какая-то инструкция, описание... Да это скрытая камера! Любопытно, зачем она понадобилась отцу?|Einige Anweisungen, Beschreibungen im Inneren.... Es ist eine versteckte Kamera! Ich frage mich, warum Vater es brauchte.
		max.unboxcam.3!set_can.searchcam_1!set_poss.cam_1^		<i>далее</i>|<i>fortfahren</i>
	max.unboxcam.3@8@Может быть, она установлена где-то в доме и за нами кто-то наблюдает?! Нужно будет осмотреть дом...\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность!»</i></color>|Vielleicht ist es irgendwo im Haus installiert und jemand beobachtet uns?! Ich sollte mir das Haus ansehen....\n\n<color=lime><i><b>Warnung:</b> Neue "Gelegenheit" vorhanden!</i></color>
		leave^													<i>зако?чить</i>|<i>beenden</i>
		max.aboutpossibilities^									<i>узнать подробнее о «Возможностях»</i>|<i>mehr über "Gelegenheiten" erfahren</i>



# --- Информация о возможностях|Infos zu den Möglichkeiten

	max.aboutpossibilities@0@story-max@«Возможности» - это особые пути, по которым можно пройти, чтобы достичь какого-то результата. Обычно они скрыты и не очень очевидны.|"Gelegenheiten" - sind besondere Wege, um ein Ergebnis zu erzielen. Sie sind meist versteckt und nicht allzu offensichtlich.
		max.aboutpossibilities.1^								<i>далее</i>|<i>fortfahren</i>
	max.aboutpossibilities.1@1@Некоторые действия в игре открывают такие «возможности». Увидеть их можно на соответствующем экране, который можно открыть через верхнее меню.|Einige der Aktionen im Spiel eröffnen solche "Gelegenheiten". Sie sind auf dem entsprechenden Bildschirm zu sehen, der über das Hauptmenü aufgerufen werden kann.
		max.aboutpossibilities.3^								<i>далее</i>|<i>fortfahren</i>
	max.aboutpossibilities.3@0@Некоторые «возможности» временные. Некоторые могут привести к нежелательному результату. Не стоит хвататься за первую попавшуюся и слепо следовать подсказкам!|Einige der "Gelegenheiten" sind zeitlich begrenzt. Einige können zu unerwünschten Ergebnissen führen. Folgen Sie den Hinweisen nicht blind, denken Sie darüber nach, was Sie in dem Fall tun!
		max.aboutpossibilities.4^								<i>далее</i>|<i>fortfahren</i>
	max.aboutpossibilities.4@4@Но и бояться их не стоит. Именно благодаря «возможностям» можно добиться того, о чём некоторые даже не мечтают!|Aber Sie sollten auch keine Angst vor ihnen haben. "Gelegenheiten" wird Ihnen helfen, Ihre Ziele und Träume zu erreichen!
		leave^													<i>всё ясно</i>|<i>Alles Klar</i>
		max.aboutpossibilities^									<i>повторить</i>|<i>Wiederholen</i>



# --- Макс не нашёл камеру|Max konnte die Kamera nicht finden.

	max.cantfindcam@2@Кажется, здесь нет никаких камер... Может быть, стоит поискать в другой комнате?|Sieht aus, als gäbe es keine Kameras.... Vielleicht sollte ich in einem anderen Raum suchen?
		leave!time^												<i>закончить</i>|<i>beenden</i>



# --- Макс нашёл камеру|Max hat die Kamera gefunden.

	max.foundcam@4@e-max-found-cam@Ого! Вот же она! Кто-то её так хорошо запрятал в стену, что найти камеру можно только точно зная, что ищешь...|Das ist sie! Jemand versteckte das Ding in der Wand und ich würde es nie finden, ohne genau zu wissen, wonach ich suchen sollte....
		max.foundcam.2^											<i>далее</i>|<i>fortfahren</i>

	max.foundcam.2@6@Так... Но она ни к чему не подключена сейчас. Видимо, отец так следил за ходом строительства и ремонта, а сейчас уже некому следить и не за чем...|Es hat nichts damit zu tun. Ich schätze, Vater hat den Bau des Hauses übersehen.
		max.foundcam.3^											<i>далее</i>|<i>fortfahren</i>

	max.foundcam.3@4@Но если её подключить, то можно подглядывать и за кое-чем другим. Вот только нужно во всём как следует разобраться!|Wenn ich mich mit dieser Kamera verbinden kann, denke ich, dass ich diesen Raum ausspionieren kann. Jetzt muss ich nur noch herausfinden, wie ich mich mit dieser Kamera verbinden kann.
		leave!set_poss.cam_2!set_can.searchcam_2^				<i>закончить</i>|<i>beenden</i>



# --- Макс моет посуду после завтрака|Max putzt das Geschirr nach dem Frühstück.

	wash.dishes.morning@0@e-max-dishes-1@Эх... столько посуды. И почему в этом огромном доме нет маленькой посудомоечной машины?|Sieh dir diesen Berg von schmutzigem Geschirr an! Warum haben wir keinen Geschirrspüler?
		leave!run_morningdishes!add_alisa.mood_60!time^				<i>закончить</i>|<i>beenden</i>



# --- Разговор с Алисой насчёт посуды, пока та её моет|Gespräch mit Alice beim Geschirrspülen

	alisa.talk.aboutdishes.init@0@Насч?т посуды...|Wegen dem Abwasch...
	alisa.talk.aboutdishes@23@Хочешь о посуд? поговорить или пришёл помочь?|Willst du helfen oder bist du nur gekommen, um zuzusehen?
		alisa.talk.aboutdishes.help^								Давай, я домою остальное|Lass mich den Rest erledigen.
		alisa.talk.aboutdishes.no^									Нет, просто хотел поглазеть|Ich will nur zusehen, wie du arbeitest.

	alisa.talk.aboutdishes.help@31@Что это с тобой? Но я не откажусь. И... спасибо.|Wirklich? Klingt nicht nach dir. Ich lehne das Angebot aber nicht ab. Ich danke Dir.
		alisa.talk.aboutdishes.help.wash!add_alisa.mood_60^			<i>мыть посуду</i>|<i>Abwasch erledigen</i>

	alisa.talk.aboutdishes.help.wash@15@e-max-dishes-1@И почему здесь нет посудомоечной машины...|Warum wir keinen Geschirrspüler haben....
		leave!set_dishes.status_2!add_dishes.washed_1!time^			<i>закончить</i>|<i>beenden</i>

	alisa.talk.aboutdishes.no@28@Знаешь что, вали отсюда, ?ока мокрой тряпкой по голове не получил!|Weißt du was, verschwinde, bevor ich dich mit einem nassen Lappen schlage!
		leave!lock^										<i>уйти</i>|<i>verlassen</i>



# --- Разговор с Лизой насчёт посуды, пока та её моет|Gespräch mit Lisa beim Geschirrspülen

	liza.talk.aboutdishes.init@0@Насчёт посуды...|Wegen dem Abwasch...
	liza.talk.aboutdishes@46@А что насчёт посуды?|Was ist damit?
		liza.talk.aboutdishes.help^									Хочешь, я помогу тебе домыть остальное?|Willst du meine Hilfe bei dem Rest?
		liza.talk.aboutdishes.no^									Нет, ничего...|Nein, nichts

	liza.talk.aboutdishes.help@48@А вот знаешь... хочу! Да, спасибо, Макс!|Weißt du was.... Das tue ich! Ja, danke, Max!
		liza.talk.aboutdishes.help.wash!add_liza.mood_60^			<i>мыть посуду</i>|<i>Abwasch erledigen</i>

	liza.talk.aboutdishes.help.wash@15@e-max-dishes-1@И чего я этим занимаюсь? Делать нечего, что ли...|Warum verschwende ich meine Zeit....?
		leave!set_dishes.status_2!add_dishes.washed_1!time^			<i>закончить</i>|<i>beenden</i>

	liza.talk.aboutdishes.no@42@Ну раз ничего, то нечего меня отвлекать. Иди делом займись!|Dann unterbreche mich nicht! Mach dich nützlich!
		leave!lock^													Хорошо, пойду займусь|Okay



# --- Макс читает книгу web book 1|Max liest das Webbuch

	max.read@15@e-maxread-1@Пришло время почитать что-то...|It's time to read something...
		count.webbook1.read=0&max.readwebbook1.start1^									<i>читать «Web Standards»</i>|<i>lese "Web Standards"</i>
		count.webbook1.read=1&max.readwebbook1.start2^									<i>читать «Web Standards»</i>|<i>lese “Web Standards”</i>
		count.webbook1.read=2&max.readwebbook1.start3^									<i>читать «Web Standards»</i>|<i>lese “Web Standards”</i>
		count.webbook1.read=3&max.readwebbook1.start4^									<i>читать «Web Standards»</i>|<i>lese “Web Standards”</i>
		count.webbook1.read=4&max.readwebbook1.start5^									<i>читать «Web Standards»</i>|<i>lese “Web Standards”</i>
		leave^																			В другой раз...|Ein anderes Mal...

	max.readwebbook1.start1@15@Хм... куча непонятных слов. Кажется, нужно будет заново перечитать первые главы...\n\n<i><color=orange>(Книга изучена на 20%)</color></i>|Hmm... bunch of gibberish. Looks like I need to reread first chapters again...\n\n<i><color=orange>(Das Buch ist zu 20% fertig)</color></i>
		leave!add_count.webbook1.read_1!set_cd.read_4!time^								<i>закончить</i>|<i>beenden</i>
	max.readwebbook1.start2@15@Так, ну с этим я уже разобрался, хорошо... А это что такое? Не ясно. Нужно будет всё осмыслить...\n\n<i><color=orange>(Книга изучена на 40%)</color></i>|Okay, ich verstehe diesen Teil.... Aber wie funktioniert das? Ich verstehe es nicht. Ich muss es herausfinden....\n\n<i><color=orange>(Das Buch ist zu 40% fertig)</color></i>
		leave!add_count.webbook1.read_1!set_cd.read_4!time^								<i>закончить</i>|<i>beenden</i>
	max.readwebbook1.start3@15@Ого, вот это здорово! Уже можно делать сайт? А, нет... Ещё не всё понятно... Ну, разберусь в другой раз.\n\n<i><color=orange>(Книга изучена на 60%)</color></i>|Wow, das ist toll! Sollte ich versuchen, meine Website zu erstellen? Nein, warte.... Dafür ist es zu früh.\n\n<i><color=orange>(Das Buch ist zu 60% fertig)</color></i>
		leave!add_count.webbook1.read_1!set_cd.read_4!time^								<i>закончить</i>|<i>beenden</i>
	max.readwebbook1.start4@15@Так, ну теперь картина вырисовывается. Осталось разобраться только с мелочами... Или это не мелочи?\n\n<i><color=orange>(Книга изучена на 80%)</color></i>|Ich fange an, das Gesamtbild zu verstehen. Ich bin fast fertig, nur noch ein paar Kleinigkeiten.\n\n<i><color=orange>(Das Buch ist zu 80% fertig)</color></i>
		leave!add_count.webbook1.read_1!set_cd.read_4!time^								<i>закончить</i>|<i>beenden</i>
	max.readwebbook1.start5@3@Всё, вот теперь точно всё понятно! Я уже могу сделать свой сайт и транслировать на него изображение! Но как получать за это деньги?|Jetzt ist alles klar! Ich kann meine Website erstellen und das Video senden! Aber wie wird man dafür bezahlt?
		leave!add_count.webbook1.read_1!set_cd.read_4!set_poss.cam_4!time^				<i>закончить</i>|<i>beenden</i>


# --- Макс чистит бассейн|Max reinigt den Pool.

	max.clearpool@15@e-clearpool@Эх... Не лёгкая это работа, но нужно отработать те деньги, что мама уже заплатила...|Es ist keine leichte Arbeit, aber ich brauche das Geld. Außerdem hat Mom mich bereits für den Job bezahlt.
		leave!set_task.clearpool_2!add_mom.inf_-5!set_dcd.clearpool_6!add_mom.help.score_5!time^				<i>закончить</i>|<i>beenden</i>



# --- Макс роется в вещах Алисы и находит книгу|Max sucht das erotische Buch in Alices Zimmer.

	max.findbook@8@Так... И с чего начать поиск? И нужно поспешить: если Алиса меня поймает, то сначала убьёт, а только потом поздоровается...|Wo soll ich anfangen....? Ich muss mich beeilen, wenn Alice mich erwischt, tötet sie mich zuerst und stellt später Fragen....
		max.findbook.1^					<i>искать под подушкой</i>|<i>Schau unter das Kissen</i>
		max.findbook.2^					<i>искат? под кроват?ю</i>|<i>Schau  unter das Bett</i>
		max.findbook.3^					<i>?скать в шкафу</i>|<i>Schau in den Schrank</i>
		max.findbook.4^					<i>искать в с?оле</i>|<i>Schau auf dem Tisch</i>
		leave^							<i>прекратить</i>|<i>stop</i>

	max.findbook.1@14@Нет, здесь её нет... Ну где же эта чёртова книга? Шаги? Нет, показалось...|Nicht hier.... Wo ist dieses verdammte Buch? Habe ich ein paar Schritte gehört? Nein, ich glaube, ich habe es mir vorgestellt....
		max.findbook.2^					<i>искать под кроватью</i>|<i>Schau unter das Bett</i>
		max.findbook.3^					<i>искать в шкафу</i>|<i>Schau in den Schrank</i>
		max.findbook.4^					<i>искать в столе</i>|<i>Schau auf dem Tisch</i>

	max.findbook.2@14@Нет, тут её точно нет. Ну где же она? Кажется, я слышу шум...|Definitiv nicht hier. Wo ist es? Ich glaube, ich habe etwas gehört....
		max.findbook.1^					<i>искать под подушкой</i>|<i>Schau unter das Kissen</i>
		max.findbook.3^					<i>искать в шкафу</i>|<i>Schau in den Schrank</i>
		max.findbook.4^					<i>искать в столе</i>|<i>Schau auf dem Tisch</i>

	max.findbook.4@14@Может быть, её здесь нет? Или попытаться ещё поискать, на свой страх и риск?|Vielleicht ist es nicht hier? Soll ich trotz der Gefahr weitermachen?
		max.findbook.1^					<i>искать под подушкой</i>|<i>Schau unter das Kissen</i>
		max.findbook.2^					<i>искать под кроватью</i>|<i>Schau unter das Bett</i>
		max.findbook.3^					<i>искать в шкафу</i>|<i>Schau in den Schrank</i>

	max.findbook.3@4@e-foundbook1@Вот же она! И зачем её так прятать? Любопытная обложка. Запомню-ка я название. Интересно, о чём эта книга? Может быть, погуглить? Так, всё, надо уходить...|Da ist es! Warum musste sie es verstecken? Interessante Tarnung. Ich frage mich, worum es in diesem Buch geht. Ich werde mir den Namen merken und ihn im Internet nachschlagen.
		leave!set_poss.secretbook_2!time^	<i>закончить</i>|<i>beenden</i>



# --- Макс роется в вещах Алисы с целью найти сигареты и положить их так, чтобы мама заметила|Auf der Suche nach Zigaretten

	max.betray.alisa@8@Так... Где же Алиса спрятала сигареты сегодня?|Also.... Wo hat Alice heute ihre Zigaretten versteckt?
		max.betray.alisa.look.no^									<i>искать под кроватью</i>|<i>Schau unter das Bett</i>
		dcd.alisasmoke=0&day<4&max.betray.alisa.look.no^			<i>искать в тумбочке</i>|<i>Schau in den Nachtschrank</i>
		dcd.alisasmoke=0&day>3&max.betray.alisa.look.found^			<i>искать в тумбочке</i>|<i>Schau in den Nachtschrank</i>
		dcd.alisasmoke=0&day<4&max.betray.alisa.look.found^			<i>искать в столе</i>|<i>Schau auf dem Tisch</i>
		dcd.alisasmoke=0&day>3&max.betray.alisa.look.no^			<i>искать в столе</i>|<i>Schau auf dem Tisch</i>
		dcd.alisasmoke>0&max.betray.alisa.look.no^					<i>искать в тумбочке</i>|<i>Schau in den Nachtschrank</i>
		dcd.alisasmoke>0&max.betray.alisa.look.no^					<i>искать в столе</i>|<i>Schau auf dem Tisch</i>

	max.betray.alisa.look.no@14@Кажется, здесь их нет... Пора уходить, а то если кто-то заметит меня...|Sieht aus, als wären sie nicht hier.... Es ist Zeit zu gehen, wenn sie mich erwischt....
		leave!time^								<i>уйти</i>|<i>verlassen</i>

	max.betray.alisa.look.found@4@e-foundc@Ага, нашёл! Так... Теперь их нужно положить таким образом, чтобы мама их заметила, если заглянет в комнату...|Ich habe sie gefunden! Jetzt muss ich sie irgendwo platzieren, wo Mom sie finden wird, wenn sie in den Raum schaut...
		leave!set_dcd.Momcanfindcigas_1!set_dcd.triedbetraycigas_1!time^		<i>подставить Алису</i>|<i>Alice ausliefern</i>
		leave!set_dcd.triedbetraycigas_1!time^									<i>не подставлять Алису</i>|<i>Alice nicht ausliefern</i>


# --- Макс пытается найти паука (удачная попытка)|versuchen, die Spinne zu fangen, Erfolg

	max.canfindspider@15@e-spider-search-1@Так, пока никого нет, попробуем проверить траву...|Ich sollte das Gras überprüfen, während niemand in der Nähe ist.
		dcd.canfindspider=0&max.canfindspider.find^						<i>искать...</i>|<i>suchen ....</i>
		dcd.canfindspider>0&max.canfindspider.not^						<i>искать...</i>|<i>suchen ....</i>
		leave^															<i>уйти</i>|<i>verlassen</i>

	max.canfindspider.find@4@e-spider-found-1@Ага! Попался! Отлично...|Hab ich dich! Ausgezeichnet....
		leave!set_item.spider_-5!time!set_dcd.canfindspider_2!max_poss.spiders_3^			<i>взять паука</i>|<i>die Spinne nehmen</i>

	max.canfindspider.not@13@Нет, ничего похожего на большого страшного паука тут нет... Может быть, я всех переловил и стоит подождать денёк-другой?|Sieht nicht so aus, als würde ich eine finden.... Vielleicht habe ich sie alle verschreckt und sollte ein oder zwei Tage warten.
		leave!time^														<i>закончить</i>|<i>beenden</i>


# --- Макс пытается найти паука (неудачная попытка)|versuchen, die Spinne zu fangen, Versagen

	max.cantfindspider@15@e-spider-search-1@Так, пока никого нет, попробуем проверить траву...|Ich kann kein Exemplar finden. Vielleicht sollte ich das Gras überprüfen....
		dcd.canfindspider=0&max.cantfindspider.nothing^					<i>искать...</i>|<i>suchen ...</i>
		dcd.canfindspider>0&max.cantfindspider.nothing2^				<i>искать...</i>|<i>suchen ...</i>
		leave^															<i>уйти</i>|<i>verlassen</i>

	max.cantfindspider.nothing@13@Нет, ничего здесь нет. Может быть, не самое подходящее для этого время?|Hier ist nichts. Vielleicht ist es nicht die beste Zeit dafür?
		leave!time^														<i>закончить</i>|<i>beenden</i>

	max.cantfindspider.nothing2@13@Нет, ничего здесь нет. Может быть, не самое подходящее для этого время? Да и ловил я уже одного недавно... Может быть, подождать денёк-другой?|Nein, hier ist nichts. Vielleicht ist es nicht die beste Zeit, das zu tun? Ja, und ich habe kürzlich einen gefangen.... Vielleicht sollte ich mal warten?
		leave!time^														<i>закончить</i>|<i>beenden</i>



# --- Макс пытается подсунуть Алисе паука в кровать|Max is trying to hide the spider in the Alice's bed

