# --- Алиса спит|Alice schläft.

	alisa.sleep@121@Кажется, Алиса спит. Стучать в дверь точно не стоит.\nДа и входить опасно для здоровья...|Sieht aus, als ob Alice schläft. Ich denke nicht, dass ich klopfen sollte.\nEs scheint auch keine gute Idee zu sein.
		spc.bustederic=0&alisa.sleep.voyeur^								<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		spc.bustederic=1&alisa.beric^										<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		leave!lock^															<i>уйти</i>|<i>verlassen</i>

	alisa.sleep.voyeur@120@e-alisa-sleep-1@Какая интересная поза... Кажется, она спит при свете включенного ноутбука. Да, хороша сестрёнка!|Das ist eine interessante Position.... Ich glaube, sie ist eingeschlafen, mit eingeschaltetem Notebook. Gott, sie ist heiß!
		leave!lock^															<i>уйти</i>|<i>verlassen</i>



# --- Мама спит|Ann schläft.

	mom.sleep@121@В это время мама обычно спит.\nМне кажется, не стоит её будить...|Mom schläft normalerweise um diese Zeit.\nIch sollte sie nicht aufwecken....
		Moms=0&mom.sleep.voyeur^											<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		Moms=1&dcd.Moms=0&09.bf.0^											<i>вой?и в комнату</i>|<i>das Zimmer betreten</i>
		Moms=2&dcd.Moms=0&09.bg.0^											<i>войти в комнату</i>|<i>das Zimmer betreten</i>
		Moms=3&dcd.Moms=0&09.bh.0^											<i>войти в комнату</i>|<i>das Zimmer betreten</i>
		Moms=4&dcd.Moms=0&09.bi.0^											<i>войти в комнату</i>|<i>das Zimmer betreten</i>
		Moms=5&msh<6&dcd.Moms=0&09.bj.0^									<i>войти в комнату</i>|<i>das Zimmer betreten</i>
		Moms=5&msh>5&dcd.Moms=0&random.luck.50=0&09.bj.0^					<i>войти в комнату</i>|<i>das Zimmer betreten</i>
		Moms=5&msh>5&dcd.Moms=0&random.luck.50=1&09.bl.0^					<i>войти в комнату</i>|<i>das Zimmer betreten</i>
		leave!lock^															<i>уйти</i>|<i>verlassen</i>

	mom.sleep.voyeur@120@z-Mom-sleep-1@Какая попка! Всё-таки хорошо, что здесь так жарко и все спят не укрываясь...|Was für ein Arsch! Es ist gut, dass wir in einem warmen Klima leben....
		leave!lock^															<i>уйти</i>|<i>verlassen</i>



# --- Мама в душе, 6:00|Ann ist unter der Dusche., 6:00

	mom.shower@121@Похоже, мама принимает душ...|Sieht aus, als würde Mom duschen....
		random.dex.3=1&count.mom.hj=0&mom.shower.voyeur.ok^						<i>заглянуть с ?лицы</i> [skill.dex_3]|<i>von außen spionieren</i>  [skill.dex_3]
		random.dex.3=0&count.mom.hj=0&mom.shower.voyeur.busted^					<i>заглянуть с улицы</i> [skill.dex_3]|<i>von außen spionieren</i> [skill.dex_3]
		count.mom.hj>0&05.sho.0^												<i>заглянуть с улицы</i>|<i>von außen spionieren</i>
		leave!lock^																<i>уйти</i>|<i>verlassen</i>

	mom.shower.voyeur.ok@120@e-Mom-shower-1@<color=lime><i>Удалось незаметно подкрасться!</i></color>\nУх, аж завораживает! Хоть бы меня не заметила...|<color=lime><i>Schleichversuch gelungen!</i></color>\n Wow, sie ist faszinierend!  Ich sollte mich jetzt wirklich nicht schnappen lassen.
		leave!lock^																<i>уйти</i>|<i>verlassen</i>

	mom.shower.voyeur.busted@68@e-Mom-seeyou-1@<color=orange><i>Не удалось подкрасться незаметно!</i></color>\nЧто?! Кто там за углом?\n\n<i>Упс... надо бежать</i>|<color=orange><i>Schleichversuch misslungen!</i></color>\nWer ist da?\n\n<i>Oops.... Ich sollte laufen</i>
		random.dex.2=1&leave!lock^												<i>бежать!</i> [skill.dex_2]|<i>Lauf!</i> [skill.dex_2]
		random.dex.2=0&mom.shower.voyeur.busted.bad^							<i>бежать!</i> [skill.dex_2]|<i>Lauf!</i> [skill.dex_2]

	mom.shower.voyeur.busted.bad@64@e-Mom-busted-1@<color=orange><i>Побег не удался!</i></color>\nМакс! Подглядываешь за мной? Как тебе не стыдно?!|<color=orange><i>Flucht fehlgeschlagen!</i></color>\nMax! Hast du mir nachspioniert?
		random.social.3=1&mom.shower.voyeur.more.busted.denied.ok^				Я не подглядывал. Это случайность!  [skill.social_3]|Ich habe nicht spioniert, es war ein Missgeschick! [skill.social_3]
		random.social.3=0&mom.shower.voyeur.more.busted.denied.bad^				Я не подглядывал. Это случайность!  [skill.social_3]|Ich habe nicht spioniert, es war ein Missgeschick! [skill.social_3]
		Momas>6&mom.shower.voyeur.more.busted.can^								Ты голая, когда я делаю тебе массаж, а сейчас стесняешься?|Du bist nackt, wenn ich dir eine Massage gebe, warum schämst du dich jetzt?
		eric.voy.stage>5&mom.shower.voyeur.more.busted.can^						Можно смотреть, как тебя трахает Эрик, но нельзя смореть на тебя в душе?|Damit ich dir beim Sex mit Eric zusehen kann, aber nicht beim Duschen?
		mom.shower.voyeur.more.busted.sorry^									Мам, извини...|Es tut mir leid, Mom....
		mom.shower.voyeur.more.busted.goodass^									Задница у тебя - что надо!|Du hast einen tollen Arsch!

	mom.shower.voyeur.more.busted.can@69@Макс... я. Не знаю что тебе сказать. Хорошо, я не буду тебя наказывать, но пожалуйста, уйди в этот раз. Хорошо?|Max, ich.... Ich weiß nicht, was ich dir sagen soll. Ich werde dich nicht bestrafen, aber bitte geh diesmal weg, okay?
		leave!lock^																Хорошо...|Schön

	mom.shower.voyeur.more.busted.denied.ok@62@<color=lime><i>Убеждение удалось!</i></color>\nСлучайность, говоришь? Ну ладно, поверю. А теперь бегом отсюда!|<color=lime><i>Die Überredung hat funktioniert!</i></color>\nNur ein Zufall? Schön, ich glaube dir. Und jetzt raus hier!
		leave!lock^																Ага, хорошо, мам!|Okay, Mom

	mom.shower.voyeur.more.busted.denied.bad@63@<color=orange><i>Убеждение не удалось!</i></color>\nСлучайно пробрался сюда, спрятался и глазеешь тут? Случайно?! А ну-ка марш отсюда! Перед завтраком поговорим!|<color=orange><i>Die Überredung hat nicht funktioniert!</i></color>\nDu hast dich also "versehentlich" eingeschlichen, dich versteckt und mich angestarrt? Geh auf dein Zimmer! Wir reden vor dem Frühstück!
		leave!set_max.pun_1!set_max.punreason_2!lock^			Хорошо...|Schön

	mom.shower.voyeur.more.busted.sorry@62@Что, думаешь извинился и всё, можно снова подглядывать? Нет, Макс. В этот раз всё так просто не пройдёт. Сейчас иди отсюда, а перед завтраком поговорим!|Denkst du, wenn du dich entschuldigst, kannst du spionieren, so viel du willst? Nein, Max. Diesmal werde ich nicht nachsichtig mit dir sein. Jetzt geh weg, wir reden vor dem Frühstück!
		leave!set_max.pun_1!set_max.punreason_2!lock^							Хорошо...|Schön

	mom.shower.voyeur.more.busted.goodass@68@Что?! Ну всё, Макс, ты попал! Быстро вернулся в дом, а перед завтарком поговорим ещё на эту тему!|Was?! Du bist in Schwierigkeiten, Max! Geh sofort auf dein Zimmer, wir reden vor dem Frühstück!
		leave!set_max.pun_1!set_max.punreason_2!lock^			Хорошо...|Schön



# --- Лиза в душе, 7:00|Lisa ist unter der Dusche., 7:00

	liza.shower@121@Кажется, Лиза что-то делает в ванной...|Sieht aus, als wäre Lisa im Bad....
		liza.shower.knock^																	<i>посту?аться</i>|<i>anklopfen</i>
		poss.sed<31&mom.athome=1&random.dex.3=1&liza.shower.voyeur.ok^						<i>подглядывать с улицы</i> [skill.dex_3]|<i>von außen spionieren</i> [skill.dex_3]
		poss.sed<31&mom.athome=1&random.dex.3=0&liza.shower.voyeur.bad^						<i>подглядывать с улицы</i> [skill.dex_3]|<i>von außen spionieren</i> [skill.dex_3]
		poss.sed<31&mom.athome=0&liza.shower.voyeur.safe^									<i>подглядывать с улицы</i>|<i>von außen spionieren</i>
		poss.sed>30&06.limom.0^																<i>подглядывать с улицы</i>|<i>von außen spionieren</i>
		leave!lock^																			<i>уйти</i>|<i>verlassen</i>

	liza.shower.knock@121@<b>Лиза:</b> Кто там? Я ещё не закончила. Подождите немного...|<b>Lisa:</b> Wer ist da? Ich bin noch nicht fertig. Warte ein bisschen.
